sigma,u3_GQ
0.01,0.12595037835135484
2.050612244897959,0.0038205486342889365
4.091224489795918,0.0011133574916294049
6.131836734693877,0.0004371604630010926
8.172448979591836,0.00020239215815836986
10.213061224489795,0.00010482697622645161
12.253673469387754,5.901297757270561e-05
14.294285714285714,3.5457224746835444e-05
16.334897959183674,2.2449409524163073e-05
18.375510204081632,1.483727284884417e-05
20.416122448979593,1.0165951025219376e-05
22.456734693877554,7.1809568595808315e-06
24.49734693877551,5.205929626459209e-06
26.53795918367347,3.860679360269913e-06
28.57857142857143,2.921204087838746e-06
30.61918367346939,2.2490267103826434e-06
32.659795918367344,1.7589004325327292e-06
34.7004081632653,1.3947935515237772e-06
36.74102040816326,1.119287921517178e-06
38.78163265306122,9.078061981802166e-07
40.82224489795918,7.43666836005946e-07
42.86285714285714,6.143101897863277e-07
44.9034693877551,5.114827896451258e-07
46.94408163265306,4.3760376768719937e-07
48.98469387755102,3.627830470164067e-07
51.025306122448974,3.088577875662101e-07
53.06591836734693,2.6474238962795334e-07
55.106530612244896,2.284280181825315e-07
57.14714285714285,1.9829204634037118e-07
59.18775510204081,1.7317756233634282e-07
61.228367346938775,1.5205298011893256e-07
63.26897959183673,1.34188909408973e-07
65.3095918367347,1.1889911167665143e-07
67.35020408163265,1.0585478600279614e-07
69.39081632653061,9.45590802712416e-08
71.43142857142857,8.476826216658695e-08
73.47204081632653,7.674554171434767e-08
75.5126530612245,6.91680725296889e-08
77.55326530612246,6.245500637455935e-08
79.59387755102041,5.648440072073277e-08
81.63448979591837,5.12434456616475e-08
83.67510204081633,4.641830409414916e-08
85.71571428571428,4.214014782063877e-08
87.75632653061224,3.8295384750130436e-08
89.79693877551021,3.483312024008544e-08
91.83755102040817,3.170942833776594e-08
93.87816326530613,2.8893621353320543e-08
95.91877551020409,2.6205510409612046e-08
97.95938775510204,2.3882271123198284e-08
100.0,2.1782072489568357e-08
