sigma,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,pole,residue,multiplicity_pole,poles_all
0.01,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]",0.0,,,[],[]
0.01,0,1,[0.49910333 1.        ],[1.],"[1.0, 0.4991033293894408, 0.0, 0.0]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.21583425336941342, 0.0893690574349048]",0.0,,,[],[]
0.01,0,2,[0.21583425 0.49910333 1.        ],[1.],"[1.0, 0.4991033293894408, 0.21583425336941342, 0.0]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.0, 0.0893690574349048]",0.0,,,[],[]
0.01,0,3,[0.08936906 0.21583425 0.49910333 1.        ],[1.],"[1.0, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
0.01,1,0,[1.],[-0.49910333  1.        ],"[1.0, 0.4991033293894408, 0.24910413340762463, 0.12432870234841688]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, -0.033269880038211214, -0.034959644913512083]",0.0,(2.0035931261434627+0j),(-2.0035931261434627+0j),[1],[array([2.00359313])]
0.01,1,1,[0.0666593 1.       ],[-0.43244403  1.        ],"[1.0, 0.4991033293894408, 0.21583425336941342, 0.09333623357014958]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.0, -0.00396717613524479]",0.0,(2.31243800090987+0j),(-2.668889924944348+0j),[1],[array([2.312438])]
0.01,1,2,[0.00917385 0.08503996 1.        ],[-0.41406337  1.        ],"[1.0, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.4150892888920104+0j),(-3.0403245383954975+0j),[1],[array([2.41508929])]
0.01,2,0,[1.],[ 0.03326988 -0.49910333  1.        ],"[1.0, 0.4991033293894408, 0.21583425336941342, 0.09111848655749986]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.0, -0.0017494291225950698]",0.0,(2.3817259079869855+0j),(-2.9357896514268713+0j),[1],"[array([ 2.38172591, 12.61993111])]"
0.01,2,1,[-0.05258297  1.        ],[ 0.05951422 -0.5516863   1.        ],"[1.0, 0.4991033293894408, 0.21583425336941342, 0.08936905743490477]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.0, 2.7755575615628914e-17]",2.7755575615628914e-17,(2.4716503797387137+0j),(-3.37890606847673+0j),[1],"[array([2.47165038, 6.79817353])]"
0.01,3,0,[1.],[ 0.00174943  0.03326988 -0.49910333  1.        ],"[1.0, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[1, 0.4991033293894408, 0.21583425336941342, 0.0893690574349048]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.4586350994768753+0j),(-3.2918447000856776+0j),[1],"[array([  2.4586351 ,   7.91128695, -29.3874859 ])]"
0.11009009009009,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]",0.0,,,[],[]
0.11009009009009,0,1,[0.49026612 1.        ],[1.],"[1.0, 0.4902661183028238, 0.0, 0.0]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.20925268455202262, 0.0855956028176036]",0.0,,,[],[]
0.11009009009009,0,2,[0.20925268 0.49026612 1.        ],[1.],"[1.0, 0.4902661183028238, 0.20925268455202262, 0.0]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.0, 0.0855956028176036]",0.0,,,[],[]
0.11009009009009,0,3,[0.0855956  0.20925268 0.49026612 1.        ],[1.],"[1.0, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
0.11009009009009,1,0,[1.],[-0.49026612  1.        ],"[1.0, 0.4902661183028238, 0.2403608667557184, 0.11784078913622831]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, -0.031108182203695794, -0.032245186318624705]",0.0,(2.039708563711775+0j),(-2.039708563711775+0j),[1],[array([2.03970856])]
0.11009009009009,1,1,[0.06345163 1.        ],[-0.42681449  1.        ],"[1.0, 0.4902661183028238, 0.20925268455202262, 0.08931207839490647]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.0, -0.003716475577302869]",0.0,(2.3429382488086454+0j),(-2.6912470415583383+0j),[1],[array([2.34293825])]
0.11009009009009,1,2,[0.00870747 0.08121233 1.        ],[-0.40905379  1.        ],"[1.0, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.444666287331616+0j),(-3.0572418006375504+0j),[1],[array([2.44466629])]
0.11009009009009,2,0,[1.],[ 0.03110818 -0.49026612  1.        ],"[1.0, 0.4902661183028238, 0.20925268455202262, 0.08733821366330247]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.0, -0.0017426108456988637]",0.0,(2.407467969081345+0j),(-2.9370109784115543+0j),[1],"[array([ 2.40746797, 13.35256954])]"
0.11009009009009,2,1,[-0.05601777  1.        ],[ 0.05857179 -0.54628388  1.        ],"[1.0, 0.4902661183028238, 0.20925268455202262, 0.08559560281760359]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.0, 1.3877787807814457e-17]",1.3877787807814457e-17,(2.501436827180603+0j),(-3.39527227740634+0j),[1],"[array([2.50143683, 6.82530292])]"
0.11009009009009,3,0,[1.],[ 0.00174261  0.03110818 -0.49026612  1.        ],"[1.0, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[1, 0.4902661183028238, 0.20925268455202262, 0.0855956028176036]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.4867469279836465+0j),(-3.2979211589639728+0j),[1],"[array([  2.48674693,   8.11133616, -28.44956282])]"
0.2101801801801801,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]",0.0,,,[],[]
0.2101801801801801,0,1,[0.48167289 1.        ],[1.],"[1.0, 0.4816728929562952, 0.0, 0.0]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, 0.20292723076306982, 0.0820110121707144]",0.0,,,[],[]
0.2101801801801801,0,2,[0.20292723 0.48167289 1.        ],[1.],"[1.0, 0.4816728929562952, 0.20292723076306982, 0.0]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, 0.0, 0.0820110121707144]",0.0,,,[],[]
0.2101801801801801,0,3,[0.08201101 0.20292723 0.48167289 1.        ],[1.],"[1.0, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
0.2101801801801801,1,0,[1.],[-0.48167289  1.        ],"[1.0, 0.4816728929562952, 0.2320087758088866, 0.11175233823511492]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, -0.02908154504581678, -0.029741326064400525]",0.0,(2.0760977306869863+0j),(-2.0760977306869863+0j),[1],[array([2.07609773])]
0.2101801801801801,1,1,[0.06037613 1.        ],[-0.42129676  1.        ],"[1.0, 0.4816728929562952, 0.20292723076306982, 0.08549258550222096]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, 0.0, -0.00348157333150656]",0.0,(2.373623742585234+0j),(-2.7137882711812407+0j),[1],[array([2.37362374])]
0.2101801801801801,1,2,[0.00826395 0.07753289 1.        ],[-0.40414001  1.        ],"[1.0, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.4743900287519414+0j),(-3.074289766991065+0j),[1],[array([2.47439003])]
0.2101801801801801,2,0,[1.],[ 0.02908155 -0.48167289  1.        ],"[1.0, 0.4816728929562952, 0.20292723076306982, 0.08373675436740013]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, 0.0, -0.0017257421966857395]",0.0,(2.433698936328869+0j),(-2.940126305320918+0j),[1],"[array([ 2.43369894, 14.12913815])]"
0.2101801801801801,2,1,[-0.05934149  1.        ],[ 0.05766473 -0.54101438  1.        ],"[1.0, 0.4816728929562952, 0.2029272307630698, 0.08201101217071437]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, 2.7755575615628914e-17, 2.7755575615628914e-17]",2.7755575615628914e-17,(2.531363805609278+0j),(-3.4117837686960018+0j),[1],"[array([2.53136381, 6.85070326])]"
0.2101801801801801,3,0,[1.],[ 0.00172574  0.02908155 -0.48167289  1.        ],"[1.0, 0.4816728929562952, 0.20292723076306982, 0.08201101217071438]","[1, 0.4816728929562952, 0.20292723076306982, 0.0820110121707144]","[0.0, 0.0, 0.0, 1.3877787807814457e-17]",1.3877787807814457e-17,(2.5149768535548884+0j),(-3.3041734808481236+0j),[1],"[array([  2.51497685,   8.32143263, -27.68802561])]"
0.3102702702702702,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.4733151237192322, 0.19684611202702348, 0.078604503172014]","[0.0, 0.4733151237192322, 0.19684611202702348, 0.078604503172014]",0.0,,,[],[]
0.3102702702702702,0,1,[0.47331512 1.        ],[1.],"[1.0, 0.4733151237192322, 0.0, 0.0]","[1, 0.4733151237192322, 0.19684611202702348, 0.078604503172014]","[0.0, 0.0, 0.19684611202702348, 0.078604503172014]",0.0,,,[],[]
0.3102702702702702,0,2,[0.19684611 0.47331512 1.        ],[1.],"[1.0, 0.4733151237192322, 0.19684611202702348, 0.0]","[1, 0.4733151237192322, 0.19684611202702348, 0.078604503172014]","[0.0, 0.0, 0.0, 0.078604503172014]",0.0,,,[],[]
0.3102702702702702,0,3,[0.0786045  0.19684611 0.47331512 1.        ],[1.],"[1.0, 0.4733151237192322, 0.19684611202702348, 0.078604503172014]","[1, 0.4733151237192322, 0.19684611202702348, 0.078604503172014]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
0.3102702702702702,1,0,[1.],[-0.47331512  1.        ],"[1.0, 0.4733151237192322, 0.22402720634135206, 0.106035464885931]","[1, 0.4733151237192322, 0.19684611202702348, 0.078604503172014]","[0.0, 0.0, -0.02718109431432858, -0.027430961713917]",0.0,(2.1127573362586958+0j),(-2.1127573362586958+0j),[1],[array([2.11275734])]
0.3102702702702702,1,1,[0.05742706 1.        ],[-0.41588807  1.        ],"[1.0, 0.4733151237192322, 0.19684611202702348, 0.08186594908625992]","[1, 0.4733151237192322, 0.19684611202702348, 0.078604503172014]","[0.0, 0.0, 0.0, -0.003261445914245917]",0.0,(2.4044931283898276+0j),(-2.7365126629790937+0j),[1],[array([2.40449313])]
0.3102702702702702,1,2,[0.00784212 0.07399556 1.        ],[-0.39931956  1.        ],"[1.0, 0.4733151237192322, 0.19684611202702348, 0.078604503172014]","[1, 0.4733151237192322, 0.19684611202702348, 0.078604503172014]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.5042599861773276+0j),(-3.0914703397804733+0j),[1],[array([2.50425999])]
0.3102702702702702,2,0,[1.],[ 0.02718109 -0.47331512  1.        ],"[1.0, 0.4733151237192322, 0.19684611202702348, 0.0803050188495099]","[1, 0.4733151237192322, 0.19684611202702348, 0.078604503172014]","[0.0, 0.0, 0.0, -0.0017005156774958924]",0.0,(2.460394335937136+0j),(-2.9449641906067163+0j),[1],"[array([ 2.46039434, 14.95300037])]"
0.3102702702702702,2,1,[-0.06256244  1.        ],[ 0.05679285 -0.53587757  1.        ],"[1.0, 0.4733151237192322, 0.19684611202702348, 0.07860450317201402]","[1, 0.4733151237192322, 0.19684611202702348, 0.078604503172014]","[0.0, 0.0, 0.0, -1.3877787807814457e-17]",-1.3877787807814457e-17,(2.561432623632743+0j),(-3.4284560669361794+0j),[1],"[array([2.56143262, 6.87422018])]"
0.3102702702702702,3,0,[1.],[ 0.00170052  0.02718109 -0.47331512  1.        ],"[1.0, 0.4733151237192322, 0.19684611202702348, 0.07860450317201399]","[1, 0.4733151237192322, 0.19684611202702348, 0.078604503172014]","[0.0, 0.0, 0.0, 1.3877787807814457e-17]",1.3877787807814457e-17,(2.5433343233688244+0j),(-3.3106630814347797+0j),[1],"[array([  2.54333432,   8.54167522, -27.06903996])]"
0.4103603603603603,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]","[0.0, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]",0.0,,,[],[]
0.4103603603603603,0,1,[0.46518463 1.        ],[1.],"[1.0, 0.4651846306573836, 0.0, 0.0]","[1, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]","[0.0, 0.0, 0.1909981695835572, 0.0753660010388824]",0.0,,,[],[]
0.4103603603603603,0,2,[0.19099817 0.46518463 1.        ],[1.],"[1.0, 0.4651846306573836, 0.1909981695835572, 0.0]","[1, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]","[0.0, 0.0, 0.0, 0.0753660010388824]",0.0,,,[],[]
0.4103603603603603,0,3,[0.075366   0.19099817 0.46518463 1.        ],[1.],"[1.0, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]","[1, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
0.4103603603603603,1,0,[1.],[-0.46518463  1.        ],"[1.0, 0.4651846306573836, 0.21639674059984637, 0.10066443785140118]","[1, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]","[0.0, 0.0, -0.025398571016289173, -0.025298436812518782]",0.0,(2.149684091210909+0j),(-2.149684091210909+0j),[1],[array([2.14968409])]
0.4103603603603603,1,1,[0.0545989 1.       ],[-0.41058573  1.        ],"[1.0, 0.4651846306573836, 0.1909981695835572, 0.07842112223853251]","[1, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]","[0.0, 0.0, 0.0, -0.00305512119965011]",0.0,(2.4355449671148617+0j),(-2.7594190751521666+0j),[1],[array([2.43554497])]
0.4103603603603603,1,2,[0.00744089 0.07059446 1.        ],[-0.39459017  1.        ],"[1.0, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]","[1, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.5342749641846924+0j),(-3.1087829759407573+0j),[1],[array([2.53427496])]
0.4103603603603603,2,0,[1.],[ 0.02539857 -0.46518463  1.        ],"[1.0, 0.4651846306573836, 0.1909981695835572, 0.07703438809652556]","[1, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]","[0.0, 0.0, 0.0, -0.0016683870576431614]",0.0,(2.4875320457466144+0j),(-2.951375103342152+0j),[1],"[array([ 2.48753205, 15.8278539 ])]"
0.4103603603603603,2,1,[-0.06568823  1.        ],[ 0.05595572 -0.53087286  1.        ],"[1.0, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]","[1, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.591643190100853+0j),(-3.4452971470006197+0j),[1],"[array([2.59164319, 6.89573038])]"
0.4103603603603603,3,0,[1.],[ 0.00166839  0.02539857 -0.46518463  1.        ],"[1.0, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]","[1, 0.4651846306573836, 0.1909981695835572, 0.0753660010388824]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.5718265290106617+0j),(-3.3174362099754973+0j),[1],"[array([  2.57182653,   8.77224613, -26.56750112])]"
0.5104504504504505,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.457273567371503, 0.1853728230245505, 0.0722860632673448]","[0.0, 0.457273567371503, 0.1853728230245505, 0.0722860632673448]",0.0,,,[],[]
0.5104504504504505,0,1,[0.45727357 1.        ],[1.],"[1.0, 0.457273567371503, 0.0, 0.0]","[1, 0.457273567371503, 0.1853728230245505, 0.0722860632673448]","[0.0, 0.0, 0.1853728230245505, 0.0722860632673448]",0.0,,,[],[]
0.5104504504504505,0,2,[0.18537282 0.45727357 1.        ],[1.],"[1.0, 0.457273567371503, 0.1853728230245505, 0.0]","[1, 0.457273567371503, 0.1853728230245505, 0.0722860632673448]","[0.0, 0.0, 0.0, 0.0722860632673448]",0.0,,,[],[]
0.5104504504504505,0,3,[0.07228606 0.18537282 0.45727357 1.        ],[1.],"[1.0, 0.457273567371503, 0.1853728230245505, 0.0722860632673448]","[1, 0.457273567371503, 0.1853728230245505, 0.0722860632673448]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
0.5104504504504505,1,0,[1.],[-0.45727357  1.        ],"[1.0, 0.457273567371503, 0.20909911541666049, 0.09561549844080197]","[1, 0.457273567371503, 0.1853728230245505, 0.0722860632673448]","[0.0, 0.0, -0.023726292392109993, -0.023329435173457175]",0.0,(2.1868747099207893+0j),(-2.1868747099207893+0j),[1],[array([2.18687471])]
0.5104504504504505,1,1,[0.05188643 1.        ],[-0.40538714  1.        ],"[1.0, 0.457273567371503, 0.1853728230245505, 0.07514775829623606]","[1, 0.457273567371503, 0.1853728230245505, 0.0722860632673448]","[0.0, 0.0, 0.0, -0.002861695028891262]",0.0,(2.466777815165184+0j),(-2.7825063602347493+0j),[1],[array([2.46677782])]
0.5104504504504505,1,2,[0.00705917 0.06732394 1.        ],[-0.38994963  1.        ],"[1.0, 0.457273567371503, 0.1853728230245505, 0.07228606326734481]","[1, 0.457273567371503, 0.1853728230245505, 0.0722860632673448]","[0.0, 0.0, 0.0, -1.3877787807814457e-17]",-1.3877787807814457e-17,(2.564433787726999+0j),(-3.126227180818769+0j),[1],[array([2.56443379])]
0.5104504504504505,2,0,[1.],[ 0.02372629 -0.45727357  1.        ],"[1.0, 0.457273567371503, 0.1853728230245505, 0.073916685715523]","[1, 0.457273567371503, 0.1853728230245505, 0.0722860632673448]","[0.0, 0.0, 0.0, -0.0016306224481782011]",0.0,(2.5150920783255697+0j),(-2.959228221553785+0j),[1],"[array([ 2.51509208, 16.75777027])]"
0.5104504504504505,2,1,[-0.06872639  1.        ],[ 0.05515305 -0.52599996  1.        ],"[1.0, 0.457273567371503, 0.1853728230245505, 0.07228606326734477]","[1, 0.457273567371503, 0.1853728230245505, 0.0722860632673448]","[0.0, 0.0, 0.0, 2.7755575615628914e-17]",2.7755575615628914e-17,(2.6219956087264635+0j),(-3.4623162136736023+0j),[1],"[array([2.62199561, 6.9151001 ])]"
0.5104504504504505,3,0,[1.],[ 0.00163062  0.02372629 -0.45727357  1.        ],"[1.0, 0.457273567371503, 0.1853728230245505, 0.07228606326734478]","[1, 0.457273567371503, 0.1853728230245505, 0.0722860632673448]","[0.0, 0.0, 0.0, 1.3877787807814457e-17]",1.3877787807814457e-17,(2.600459695695681+0j),(-3.3245309141553974+0j),[1],"[array([  2.6004597 ,   9.013377  , -26.16428792])]"
0.6105405405405405,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]","[0.0, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]",0.0,,,[],[]
0.6105405405405405,0,1,[0.44957441 1.        ],[1.],"[1.0, 0.4495744056579328, 0.0, 0.0]","[1, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]","[0.0, 0.0, 0.1799600419994214, 0.069355837840552]",0.0,,,[],[]
0.6105405405405405,0,2,[0.17996004 0.44957441 1.        ],[1.],"[1.0, 0.4495744056579328, 0.1799600419994214, 0.0]","[1, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]","[0.0, 0.0, 0.0, 0.069355837840552]",0.0,,,[],[]
0.6105405405405405,0,3,[0.06935584 0.17996004 0.44957441 1.        ],[1.],"[1.0, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]","[1, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
0.6105405405405405,1,0,[1.],[-0.44957441  1.        ],"[1.0, 0.4495744056579328, 0.2021171462226835, 0.09086669588634043]","[1, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]","[0.0, 0.0, -0.022157104223262114, -0.021510858045788422]",0.0,(2.224325912273727+0j),(-2.224325912273727+0j),[1],[array([2.22432591])]
0.6105405405405405,1,1,[0.04928462 1.        ],[-0.40028978  1.        ],"[1.0, 0.4495744056579328, 0.1799600419994214, 0.07203616644732824]","[1, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]","[0.0, 0.0, 0.0, -0.002680328606776236]",0.0,(2.498190157453832+0j),(-2.805773213521412+0j),[1],[array([2.49819016])]
0.6105405405405405,1,2,[0.00669597 0.06417864 1.        ],[-0.38539576  1.        ],"[1.0, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]","[1, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.5947353186496964+0j),(-3.1438026511926576+0j),[1],[array([2.59473532])]
0.6105405405405405,2,0,[1.],[ 0.0221571  -0.44957441  1.        ],"[1.0, 0.4495744056579328, 0.1799600419994214, 0.07094416196179255]","[1, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]","[0.0, 0.0, 0.0, -0.0015883241212405474]",0.0,(2.543056202746852+0j),(-2.968408272681342+0j),[1],"[array([ 2.5430562 , 17.74724893])]"
0.6105405405405405,2,1,[-0.07168464  1.        ],[ 0.05438469 -0.52125905  1.        ],"[1.0, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]","[1, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.6524903807835685+0j),(-3.4795251056788725+0j),[1],"[array([2.65249038, 6.93217572])]"
0.6105405405405405,3,0,[1.],[ 0.00158832  0.0221571  -0.44957441  1.        ],"[1.0, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]","[1, 0.4495744056579328, 0.1799600419994214, 0.069355837840552]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.629239247038156+0j),(-3.33197858600215+0j),[1],"[array([  2.62923925,   9.26534185, -25.84457023])]"
0.7106306306306306,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.4420799209459832, 0.1747503029328831, 0.0665670213911268]","[0.0, 0.4420799209459832, 0.1747503029328831, 0.0665670213911268]",0.0,,,[],[]
0.7106306306306306,0,1,[0.44207992 1.        ],[1.],"[1.0, 0.4420799209459832, 0.0, 0.0]","[1, 0.4420799209459832, 0.1747503029328831, 0.0665670213911268]","[0.0, 0.0, 0.1747503029328831, 0.0665670213911268]",0.0,,,[],[]
0.7106306306306306,0,2,[0.1747503  0.44207992 1.        ],[1.],"[1.0, 0.4420799209459832, 0.1747503029328831, 0.0]","[1, 0.4420799209459832, 0.1747503029328831, 0.0665670213911268]","[0.0, 0.0, 0.0, 0.0665670213911268]",0.0,,,[],[]
0.7106306306306306,0,3,[0.06656702 0.1747503  0.44207992 1.        ],[1.],"[1.0, 0.4420799209459832, 0.1747503029328831, 0.0665670213911268]","[1, 0.4420799209459832, 0.1747503029328831, 0.0665670213911268]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
0.7106306306306306,1,0,[1.],[-0.44207992  1.        ],"[1.0, 0.4420799209459832, 0.19543465650360675, 0.08639773749721985]","[1, 0.4420799209459832, 0.1747503029328831, 0.0665670213911268]","[0.0, 0.0, -0.02068435357072365, -0.01983071610609305]",0.0,(2.2620344254951763+0j),(-2.2620344254951763+0j),[1],[array([2.26203443])]
0.7106306306306306,1,1,[0.04678872 1.        ],[-0.3952912  1.       ],"[1.0, 0.4420799209459832, 0.1747503029328831, 0.06907725713890939]","[1, 0.4420799209459832, 0.1747503029328831, 0.0665670213911268]","[0.0, 0.0, 0.0, -0.0025102357477825854]",0.0,(2.5297805699127984+0j),(-2.8292185387529463+0j),[1],[array([2.52978057])]
0.7106306306306306,1,2,[0.00635035 0.06115342 1.        ],[-0.3809265  1.       ],"[1.0, 0.4420799209459832, 0.1747503029328831, 0.0665670213911268]","[1, 0.4420799209459832, 0.1747503029328831, 0.0665670213911268]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.625178343283613+0j),(-3.161508660112992+0j),[1],[array([2.62517834])]
0.7106306306306306,2,0,[1.],[ 0.02068435 -0.44207992  1.        ],"[1.0, 0.4420799209459832, 0.1747503029328831, 0.06810946271449131]","[1, 0.4420799209459832, 0.1747503029328831, 0.0665670213911268]","[0.0, 0.0, 0.0, -0.0015424413233645073]",0.0,(2.5714079335554847+0j),(-2.9788137898181373+0j),[1],"[array([ 2.57140793, 18.80126487])]"
0.7106306306306306,2,1,[-0.07457044  1.        ],[ 0.05365045 -0.51665036  1.        ],"[1.0, 0.4420799209459832, 0.1747503029328831, 0.06656702139112679]","[1, 0.4420799209459832, 0.1747503029328831, 0.0665670213911268]","[0.0, 0.0, 0.0, 1.3877787807814457e-17]",1.3877787807814457e-17,(2.6831278190890138+0j),(-3.496934513561311+0j),[1],"[array([2.68312782, 6.94680792])]"
0.7106306306306306,3,0,[1.],[ 0.00154244  0.02068435 -0.44207992  1.        ],"[1.0, 0.4420799209459832, 0.1747503029328831, 0.0665670213911268]","[1, 0.4420799209459832, 0.1747503029328831, 0.0665670213911268]","[0.0, 0.0, 0.0, 0.0]",0.0,(2.65816961449539+0j),(-3.339803301471495+0j),[1],"[array([  2.65816961,   9.52847263, -25.59678191])]"
0.8107207207207207,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.434783178469306, 0.1697345721178044, 0.063911822373304]","[0.0, 0.434783178469306, 0.1697345721178044, 0.063911822373304]",0.0,,,[],[]
0.8107207207207207,0,1,[0.43478318 1.        ],[1.],"[1.0, 0.434783178469306, 0.0, 0.0]","[1, 0.434783178469306, 0.1697345721178044, 0.063911822373304]","[0.0, 0.0, 0.1697345721178044, 0.063911822373304]",0.0,,,[],[]
0.8107207207207207,0,2,[0.16973457 0.43478318 1.        ],[1.],"[1.0, 0.434783178469306, 0.1697345721178044, 0.0]","[1, 0.434783178469306, 0.1697345721178044, 0.063911822373304]","[0.0, 0.0, 0.0, 0.063911822373304]",0.0,,,[],[]
0.8107207207207207,0,3,[0.06391182 0.16973457 0.43478318 1.        ],[1.],"[1.0, 0.434783178469306, 0.1697345721178044, 0.063911822373304]","[1, 0.434783178469306, 0.1697345721178044, 0.063911822373304]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
