,sigma,residues,poles,poly_type,error_next,rel_error,pole_2,res_2
0,0.01,,,0_0,0.2495516646947204,1.0,,
1,0.01,,,0_1,0.1438895022462756,1.0,,
2,0.01,,,0_2,0.0670267930761787,1.0,,
3,0.01,-4.0071862522869255,4.0071862522869255,1_0,0.0816134688943694,0.567195435527208,,
4,0.01,-0.7506252913905975,1.7343285006824023,1_1,-0.0159387478750653,0.2377966652372931,,
5,0.01,-1.6038953256907986,2.2908621840182923,2_0,0.0107521512344252,0.160415719460201,-5.3485886607314646,1.6038953256907986
6,0.11009009009009,,,0_0,0.2451330591514119,1.0,,
7,0.11009009009009,,,0_1,0.1395017897013484,1.0,,
8,0.11009009009009,,,0_2,0.0641967021132027,1.0,,
9,0.11009009009009,-4.079417127423549,4.079417127423549,1_0,0.0794115730124188,0.5692512847500135,,
10,0.11009009009009,-0.7569132304382828,1.7572036866064844,1_1,-0.015191812015603,0.2366447421055086,,
11,0.11009009009009,-1.6270673077642557,2.326296099866952,2_0,0.0105337998220543,0.1640863077900682,-5.413164296182327,1.6270673077642557
12,0.2101801801801801,,,0_0,0.2408364464781476,1.0,,
13,0.2101801801801801,,,0_1,0.1352848205087132,1.0,,
14,0.2101801801801801,,,0_2,0.0615082591280358,1.0,,
15,0.2101801801801801,-4.152195461373973,4.152195461373973,1_0,0.0772826265564916,0.5712586694197084,,
16,0.2101801801801801,-0.7632529512697236,1.780217806938925,1_1,-0.0144851502072717,0.2354992713599549,,
17,0.2101801801801801,-1.6503971529513568,2.361968872683276,2_0,0.0103142705399201,0.167689196315082,-5.478276601977419,1.6503971529513568
18,0.3102702702702703,,,0_0,0.2366575618596161,1.0,,
19,0.3102702702702703,,,0_1,0.1312307413513491,1.0,,
20,0.3102702702702703,,,0_2,0.0589533773790106,1.0,,
21,0.3102702702702703,-4.225514672517392,4.225514672517392,1_0,0.0752239397660111,0.5732188890452973,,
22,0.3102702702702703,-0.7696441864628685,1.803369846292369,1_1,-0.0138163551421093,0.2343607059742173,,
23,0.3102702702702703,-1.6738832674124977,2.3978780135035,2_0,0.0100943159112716,0.1712254048886023,-5.543918523954755,1.6738832674124977
24,0.4103603603603603,,,0_0,0.2325923153286918,1.0,,
25,0.4103603603603603,,,0_1,0.1273321130557049,1.0,,
26,0.4103603603603603,,,0_2,0.0565245007791619,1.0,,
27,0.4103603603603603,-4.2993681824218175,4.2993681824218175,1_0,0.0732329279057432,0.5751332177587091,,
28,0.4103603603603603,-0.7760866148865461,1.8266587253361453,1_1,-0.013183163432867,0.2332291882483472,,
29,0.4103603603603603,-1.6975240218372247,2.434020996142096,2_0,0.0098746135279448,0.1746961652350433,-5.610082939589954,1.6975240218372247
30,0.5104504504504505,,,0_0,0.2286367836857515,1.0,,
31,0.5104504504504505,,,0_1,0.1235818820163671,1.0,,
32,0.5104504504504505,,,0_2,0.0542145474505087,1.0,,
33,0.5104504504504505,-4.373749419841577,4.373749419841577,1_0,0.071307103162202,0.5770028907049507,,
34,0.5104504504504505,-0.7825799138160222,1.8500833613738863,1_1,-0.0125834599239234,0.2321048595934618,,
35,0.5104504504504505,-1.721317793013864,2.4703953002120667,2_0,0.0096557567035006,0.1781026893623922,-5.676762878567793,1.721317793013864
36,0.6105405405405405,,,0_0,0.2247872028289664,1.0,,
37,0.6105405405405405,,,0_1,0.1199733613329477,1.0,,
38,0.6105405405405405,,,0_2,0.0520168783804141,1.0,,
39,0.6105405405405405,-4.448651824547453,4.448651824547453,1_0,0.0694440747772768,0.5788291167783238,,
40,0.6105405405405405,-0.7891237163028956,1.873642618090372,1_1,-0.0120152695727667,0.230987901367238,,
41,0.6105405405405405,-1.7452629297135729,2.506998376509501,2_0,0.0094382627501622,0.181446158324565,-5.743951328217919,1.7452629297135729
42,0.7106306306306306,,,0_0,0.2210399604729916,1.0,,
43,0.7106306306306306,,,0_1,0.1165002019552554,1.0,,
44,0.7106306306306306,,,0_2,0.0499252660433453,1.0,,
45,0.7106306306306306,-4.524068850990351,4.524068850990351,1_0,0.0676415378293536,0.5806130521158492,,
46,0.7106306306306306,-0.7957177140242672,1.8973354274346,1_1,-0.0114767403023518,0.2298784004954068,,
47,0.7106306306306306,-1.7693578358317206,2.5438277331817263,2_0,0.0092225831599274,0.1847277719445769,-5.811641676599633,1.7693578358317206
48,0.8107207207207207,,,0_0,0.217391589234653,1.0,,
49,0.8107207207207207,,,0_1,0.1131563814118697,1.0,,
50,0.8107207207207207,,,0_2,0.0479338667799782,1.0,,
51,0.8107207207207207,-4.5999939718026415,4.5999939718026415,1_0,0.0658972783419016,0.5823558293371619,,
52,0.8107207207207207,-0.8023615536494981,1.9211606674075683,1_1,-0.0109661426422238,0.228776507694646,,
53,0.8107207207207207,-1.79360088721031,2.58088085057708,2_0,0.009009107127825,0.1879486829046743,-5.879827251773468,1.79360088721031
54,0.9108108108108108,,,0_0,0.2138387600657064,1.0,,
55,0.9108108108108108,,,0_1,0.1099361814596038,1.0,,
56,0.9108108108108108,,,0_2,0.046037195696906,1.0,,
57,0.9108108108108108,-4.676420681137176,4.676420681137176,1_0,0.064209166153165,0.584058544699943,,
