sigma,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.21018018018018014,3,0,[1.],[-0.01031427 -0.07728263 -0.24083645  1.        ],"[1.0, 0.2408364464781476, 0.13528482050871324, 0.06150825912803579]",(2.1811590979084485+0j),(-1.3789738966859657-0j),[1],(-4.836972774601088+4.588456936400101j),(0.689486948342983-1.054583358832091j),(0.13764870617744965+0j),[0.]
0.3102702702702703,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]",,,,,,,
0.3102702702702703,0,1,[0.23665756 1.        ],[1.],"[1.0, 0.2366575618596161, 0.0, 0.0]",,,,,,,
0.3102702702702703,0,2,[0.13123074 0.23665756 1.        ],[1.],"[1.0, 0.2366575618596161, 0.13123074135134913, 0.0]",,,,,,,
0.3102702702702703,0,3,[0.05895338 0.13123074 0.23665756 1.        ],[1.],"[1.0, 0.2366575618596161, 0.13123074135134913, 0.058953377379010664]",,,,,,,
0.3102702702702703,1,0,[1.],[-0.23665756  1.        ],"[1.0, 0.2366575618596161, 0.056006801585338016, 0.013254433110741376]",(4.2255146725173915+0j),(-4.2255146725173915+0j),[1],,,0j,[0.]
0.3102702702702703,1,1,[-0.31785986  1.        ],[-0.55451742  1.        ],"[1.0, 0.23665756185961606, 0.1312307413513491, 0.07276973252112007]",(1.803369846292369+0j),(-0.7696441864628685+0j),[1],,,(0.5732188890452974+0j),[0.57321889]
0.3102702702702703,1,2,[ 0.024916   -0.21257695  1.        ],[-0.44923451  1.        ],"[1.0, 0.2366575618596161, 0.13123074135134913, 0.058953377379010664]",(2.226008876602065+0j),(-1.4474922852927257+0j),[1],,,(0.22627486741041986+0j),[-0.05546323  0.34973652]
0.3102702702702703,2,0,[1.],[-0.07522394 -0.23665756  1.        ],"[1.0, 0.2366575618596161, 0.13123074135134913, 0.048859061467738996]",(2.3978780135035+0j),(-1.6738832674124975+0j),[1],(-5.543918523954755+0j),(1.6738832674124975+0j),(0.2107688429837587+0j),[0.]
0.3102702702702703,2,1,[-0.13419021  1.        ],[-0.04346681 -0.37084777  1.        ],"[1.0, 0.2366575618596161, 0.13123074135134913, 0.058953377379010685]",(2.1531403196881262+0j),(-1.2742543016083514+0j),[1],(-10.684885381658095+0j),(4.36144188135611+0j),(0.33972839615820055+0j),[0.]
0.3102702702702703,3,0,[1.],[-0.01009432 -0.07522394 -0.23665756  1.        ],"[1.0, 0.2366575618596161, 0.13123074135134913, 0.058953377379010664]",(2.210876912198145+0j),(-1.3941136225131943-0j),[1],(-4.831492823092553+4.633031937497137j),(0.6970568112565971-1.0595506047868104j),(0.13816309602531082+0j),[0.]
0.4103603603603603,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]",,,,,,,
0.4103603603603603,0,1,[0.23259232 1.        ],[1.],"[1.0, 0.23259231532869185, 0.0, 0.0]",,,,,,,
0.4103603603603603,0,2,[0.12733211 0.23259232 1.        ],[1.],"[1.0, 0.23259231532869185, 0.1273321130557049, 0.0]",,,,,,,
0.4103603603603603,0,3,[0.0565245  0.12733211 0.23259232 1.        ],[1.],"[1.0, 0.23259231532869185, 0.1273321130557049, 0.05652450077916197]",,,,,,,
0.4103603603603603,1,0,[1.],[-0.23259232  1.        ],"[1.0, 0.23259231532869185, 0.05409918514996162, 0.012583054731425158]",(4.2993681824218175+0j),(-4.2993681824218175+0j),[1],,,0j,[0.]
0.4103603603603603,1,1,[-0.31485532  1.        ],[-0.54744764  1.        ],"[1.0, 0.23259231532869185, 0.1273321130557049, 0.069707664212029]",(1.8266587253361453+0j),(-0.7760866148865461+0j),[1],,,(0.5751332177587091+0j),[0.57513322]
0.4103603603603603,1,2,[ 0.02408114 -0.21132163  1.        ],[-0.44391395  1.        ],"[1.0, 0.23259231532869185, 0.1273321130557049, 0.05652450077916197]",(2.252688857053055+0j),(-1.4555984304359018+0j),[1],,,(0.23163723042547518+0j),[-0.05424732  0.35383956]
0.4103603603603603,2,0,[1.],[-0.07323293 -0.23259232  1.        ],"[1.0, 0.23259231532869185, 0.1273321130557049, 0.04664988725121716]",(2.434020996142096+0j),(-1.6975240218372247+0j),[1],(-5.610082939589954+0j),(1.6975240218372247+0j),(0.2110271119567207+0j),[0.]
0.4103603603603603,2,1,[-0.13483844  1.        ],[-0.04187054 -0.36743075  1.        ],"[1.0, 0.23259231532869185, 0.1273321130557049, 0.05652450077916198]",(2.1800279795493576+0j),(-1.2837508823670396+0j),[1],(-10.955427580003379+0j),(4.504115966358505+0j),(0.3428975832576202+0j),[0.]
0.4103603603603603,3,0,[1.],[-0.00987461 -0.07323293 -0.23259232  1.        ],"[1.0, 0.23259231532869185, 0.1273321130557049, 0.05652450077916197]",(2.2407819091280365+0j),(-1.4093742872862483-0j),[1],(-4.828532427569351+4.677523366616999j),(0.7046871436431241-1.0650197844004854j),(0.13865964631344674+0j),[0.]
0.5104504504504505,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]",,,,,,,
0.5104504504504505,0,1,[0.22863678 1.        ],[1.],"[1.0, 0.22863678368575155, 0.0, 0.0]",,,,,,,
0.5104504504504505,0,2,[0.12358188 0.22863678 1.        ],[1.],"[1.0, 0.22863678368575155, 0.12358188201636715, 0.0]",,,,,,,
0.5104504504504505,0,3,[0.05421455 0.12358188 0.22863678 1.        ],[1.],"[1.0, 0.22863678368575155, 0.12358188201636715, 0.05421454745050878]",,,,,,,
0.5104504504504505,1,0,[1.],[-0.22863678  1.        ],"[1.0, 0.22863678368575155, 0.05227477885416514, 0.011951937305100255]",(4.373749419841577+0j),(-4.373749419841577+0j),[1],,,0j,[0.]
0.5104504504504505,1,1,[-0.3118794  1.       ],[-0.54051618  1.        ],"[1.0, 0.22863678368575158, 0.12358188201636716, 0.0667980073744322]",(1.8500833613738863+0j),(-0.7825799138160222+0j),[1],,,(0.5770028907049506+0j),[0.57700289]
0.5104504504504505,1,2,[ 0.02328045 -0.21005655  1.        ],[-0.43869333  1.        ],"[1.0, 0.22863678368575155, 0.12358188201636715, 0.05421454745050878]",(2.2794967002017716+0j),(-1.463766178856151+0j),[1],,,(0.23688787287433377+0j),[-0.05306771  0.35785554]
0.5104504504504505,2,0,[1.],[-0.0713071  -0.22863678  1.        ],"[1.0, 0.22863678368575155, 0.12358188201636713, 0.044558790747008144]",(2.4703953002120667+0j),(-1.7213177930138641+0j),[1],(-5.676762878567793+0j),(1.7213177930138641+0j),(0.21127830775364342+0j),[0.]
0.5104504504504505,2,1,[-0.13541087  1.        ],[-0.0403472  -0.36404765  1.        ],"[1.0, 0.22863678368575155, 0.12358188201636713, 0.05421454745050878]",(2.20704007255497+0j),(-1.2932791723136299+0j),[1],(-11.229913282999377+0j),(4.649419735830425+0j),(0.34601740534497905+0j),[0.]
0.5104504504504505,3,0,[1.],[-0.00965576 -0.0713071  -0.22863678  1.        ],"[1.0, 0.22863678368575155, 0.12358188201636713, 0.05421454745050878]",(2.270872014709769+0j),(-1.4247540204242268-0j),[1],(-4.827901826028118+4.721997842183161j),(0.7123770102121135-1.0709457000723173j),(0.13913917912794566+0j),[0.]
0.6105405405405405,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]",,,,,,,
0.6105405405405405,0,1,[0.2247872 1.       ],[1.],"[1.0, 0.22478720282896644, 0.0, 0.0]",,,,,,,
0.6105405405405405,0,2,[0.11997336 0.2247872  1.        ],[1.],"[1.0, 0.22478720282896644, 0.11997336133294778, 0.0]",,,,,,,
0.6105405405405405,0,3,[0.05201688 0.11997336 0.2247872  1.        ],[1.],"[1.0, 0.22478720282896644, 0.11997336133294778, 0.05201687838041413]",,,,,,,
0.6105405405405405,1,0,[1.],[-0.2247872  1.       ],"[1.0, 0.22478720282896644, 0.0505292865556709, 0.01135833698579256]",(4.448651824547453+0j),(-4.448651824547453+0j),[1],,,0j,[0.]
0.6105405405405405,1,1,[-0.30893251  1.        ],[-0.53371971  1.        ],"[1.0, 0.22478720282896647, 0.1199733613329478, 0.06403214795318085]",(1.8736426180903716+0j),(-0.7891237163028956+0j),[1],,,(0.5788291167783238+0j),[0.57882912]
0.6105405405405405,1,2,[ 0.02251232 -0.20878303  1.        ],[-0.43357023  1.        ],"[1.0, 0.22478720282896644, 0.11997336133294778, 0.05201687838041413]",(2.306431394355284+0j),(-1.471995388578545+0j),[1],,,(0.24202949068562377+0j),[-0.05192312  0.36178661]
0.6105405405405405,2,0,[1.],[-0.06944407 -0.2247872   1.        ],"[1.0, 0.22478720282896644, 0.11997336133294778, 0.042578615630251865]",(2.506998376509501+0j),(-1.7452629297135727+0j),[1],(-5.743951328217919+0j),(1.7452629297135727+0j),(0.21152267219779758+0j),[0.]
0.6105405405405405,2,1,[-0.13591171  1.        ],[-0.03889286 -0.36069891  1.        ],"[1.0, 0.22478720282896644, 0.11997336133294778, 0.05201687838041413]",(2.2341755902653184+0j),(-1.302839628485098+0j),[1],(-11.508342841070132+0j),(4.797355049032532+0j),(0.3490884929863865+0j),[0.]
0.6105405405405405,3,0,[1.],[-0.00943826 -0.06944407 -0.2247872   1.        ],"[1.0, 0.22478720282896644, 0.11997336133294778, 0.05201687838041413]",(2.3011451601945145+0j),(-1.4402510045605867-0j),[1],(-4.829431529859119+4.766510647628511j),(0.7201255022802935-1.0772891324658644j),(0.1396024667233903+0j),[0.]
0.7106306306306306,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]",,,,,,,
0.7106306306306306,0,1,[0.22103996 1.        ],[1.],"[1.0, 0.22103996047299168, 0.0, 0.0]",,,,,,,
