sigma,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,rel_err,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.01,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.489756159319821, 0.2519007567027097]","[0.0, 0.489756159319821, 0.2519007567027097]",0.489756159319821,1.0,,,,,,,
0.01,0,1,[0.48975616 1.        ],[1.],"[1.0, 0.489756159319821, 0.0]","[1, 0.489756159319821, 0.2519007567027097]","[0.0, 0.0, 0.2519007567027097]",0.2519007567027097,1.0,,,,,,,
0.01,1,0,[1.],[-0.48975616  1.        ],"[1.0, 0.489756159319821, 0.2398610955917019]","[1, 0.489756159319821, 0.2519007567027097]","[0.0, 0.0, 0.012039661111007821]",0.012039661111007821,0.04779525583250584,2.0418324118451343,-2.0418324118451343,[1],,,0.0,[0.]
2.05061224489796,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.07816469921781549, 0.007641097268577859]","[0.0, 0.07816469921781549, 0.007641097268577859]",0.07816469921781549,1.0,,,,,,,
2.05061224489796,0,1,[0.0781647 1.       ],[1.],"[1.0, 0.07816469921781549, 0.0]","[1, 0.07816469921781549, 0.007641097268577859]","[0.0, 0.0, 0.007641097268577859]",0.007641097268577859,1.0,,,,,,,
2.05061224489796,1,0,[1.],[-0.0781647  1.       ],"[1.0, 0.07816469921781549, 0.006109720203811566]","[1, 0.07816469921781549, 0.007641097268577859]","[0.0, 0.0, 0.0015313770647662935]",0.0015313770647662935,0.20041324052550757,12.793498983644493,-12.793498983644493,[1],,,0.0,[0.]
4.09122448979592,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.040358683441117114, 0.0022267149832588]","[0.0, 0.040358683441117114, 0.0022267149832588]",0.040358683441117114,1.0,,,,,,,
4.09122448979592,0,1,[0.04035868 1.        ],[1.],"[1.0, 0.040358683441117114, 0.0]","[1, 0.040358683441117114, 0.0022267149832588]","[0.0, 0.0, 0.0022267149832588]",0.0022267149832588,1.0,,,,,,,
4.09122448979592,1,0,[1.],[-0.04035868  1.        ],"[1.0, 0.040358683441117114, 0.0016288233291003008]","[1, 0.040358683441117114, 0.0022267149832588]","[0.0, 0.0, 0.0005978916541584994]",0.0005978916541584994,0.2685083895575554,24.77781519952179,-24.77781519952179,[1],,,0.0,[0.]
6.13183673469388,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.02452025128661086, 0.0008743209260021799]","[0.0, 0.02452025128661086, 0.0008743209260021799]",0.02452025128661086,1.0,,,,,,,
6.13183673469388,0,1,[0.02452025 1.        ],[1.],"[1.0, 0.02452025128661086, 0.0]","[1, 0.02452025128661086, 0.0008743209260021799]","[0.0, 0.0, 0.0008743209260021799]",0.0008743209260021799,1.0,,,,,,,
6.13183673469388,1,0,[1.],[-0.02452025  1.        ],"[1.0, 0.02452025128661086, 0.0006012427231585415]","[1, 0.02452025128661086, 0.0008743209260021799]","[0.0, 0.0, 0.00027307820284363843]",0.00027307820284363843,0.31233177054595346,40.78261630809812,-40.78261630809812,[1],,,0.0,[0.]
8.17244897959184,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.01631882530930835, 0.00040478431631672004]","[0.0, 0.01631882530930835, 0.00040478431631672004]",0.01631882530930835,1.0,,,,,,,
8.17244897959184,0,1,[0.01631883 1.        ],[1.],"[1.0, 0.01631882530930835, 0.0]","[1, 0.01631882530930835, 0.00040478431631672004]","[0.0, 0.0, 0.00040478431631672004]",0.00040478431631672004,1.0,,,,,,,
8.17244897959184,1,0,[1.],[-0.01631883  1.        ],"[1.0, 0.01631882530930835, 0.0002663040594757227]","[1, 0.01631882530930835, 0.00040478431631672004]","[0.0, 0.0, 0.00013848025684099733]",0.00013848025684099733,0.342108750904876,61.27892057460744,-61.27892057460744,[1],,,0.0,[0.]
10.2130612244898,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.0115557347967581, 0.0002096539524529]","[0.0, 0.0115557347967581, 0.0002096539524529]",0.0115557347967581,1.0,,,,,,,
10.2130612244898,0,1,[0.01155573 1.        ],[1.],"[1.0, 0.0115557347967581, 0.0]","[1, 0.0115557347967581, 0.0002096539524529]","[0.0, 0.0, 0.0002096539524529]",0.0002096539524529,1.0,,,,,,,
