solution variable
x	solution variable
0.5	1.009225684494e-09
1.5	1.07773629945945e-09
2.5	1.21475732862865e-09
3.5	1.42057573867599e-09
4.5	1.69632019061846e-09
5.5	2.04470464609898e-09
6.5	2.47076613226916e-09
7.5	2.98240974268305e-09
8.5	3.59070653314937e-09
9.5	4.31000981281623e-09
10.5	5.15799157492763e-09
11.5	6.15567429122941e-09
12.5	7.32748901018096e-09
13.5	8.70135579477532e-09
14.5	1.03087632948637e-08
15.5	1.21848167981845e-08
16.5	1.43682228821553e-08
17.5	1.6901179922456e-08
18.5	1.98291453484451e-08
19.5	2.32004521559798e-08
20.5	2.70657489501913e-08
21.5	3.14772400996338e-08
22.5	3.64877058962824e-08
23.5	4.21492873653505e-08
24.5	4.85120269349311e-08
25.5	5.56221648630506e-08
26.5	6.35202023327803e-08
27.5	7.22387555253696e-08
28.5	8.18002406380655e-08
29.5	9.22144473585636e-08
30.5	1.03476077090273e-07
31.5	1.15562341273239e-07
32.5	1.28430733174651e-07
33.5	1.42017101937658e-07
34.5	1.56234168647489e-07
35.5	1.70970628740333e-07
36.5	1.86090981318423e-07
37.5	2.01436212160819e-07
38.5	2.16825432240495e-07
39.5	2.32058536934949e-07
40.5	2.46919903407032e-07
41.5	2.61183086578402e-07
42.5	2.74616410733379e-07
43.5	2.86989288293417e-07
44.5	2.98079034882337e-07
45.5	3.07677896193111e-07
46.5	3.15599963084193e-07
47.5	3.21687631781616e-07
48.5	3.25817269665228e-07
49.5	3.2790377551144e-07
50.5	3.2790377551144e-07
51.5	3.25817269665228e-07
52.5	3.21687631781617e-07
53.5	3.15599963084194e-07
54.5	3.07677896193113e-07
55.5	2.98079034882339e-07
56.5	2.86989288293425e-07
57.5	2.74616410733399e-07
58.5	2.61183086578454e-07
59.5	2.4691990340706e-07
60.5	2.32058536934981e-07
61.5	2.16825432240507e-07
62.5	2.01436212160824e-07
63.5	1.86090981318424e-07
64.5	1.70970628740334e-07
65.5	1.5623416864749e-07
66.5	1.42017101937658e-07
67.5	1.28430733174651e-07
68.5	1.15562341273239e-07
69.5	1.03476077090273e-07
70.5	9.22144473585636e-08
71.5	8.18002406380655e-08
72.5	7.22387555253696e-08
73.5	6.35202023327803e-08
74.5	5.56221648630507e-08
75.5	4.85120269349311e-08
76.5	4.21492873653506e-08
77.5	3.64877058962824e-08
78.5	3.14772400996338e-08
79.5	2.70657489501914e-08
80.5	2.32004521559801e-08
81.5	1.98291453484461e-08
82.5	1.69011799224584e-08
83.5	1.43682228821617e-08
84.5	1.21848167981877e-08
85.5	1.03087632948669e-08
86.5	8.70135579478172e-09
87.5	7.3274890101834e-09
88.5	6.15567429123035e-09
89.5	5.15799157492799e-09
90.5	4.31000981281637e-09
91.5	3.59070653314942e-09
92.5	2.98240974268307e-09
93.5	2.47076613226916e-09
94.5	2.04470464609898e-09
95.5	1.69632019061846e-09
96.5	1.42057573867599e-09
97.5	1.21475732862865e-09
98.5	1.07773629945945e-09
99.5	1.009225684494e-09
