solution variable
x	solution variable
0.5	8.71841141838459e-08
1.5	8.57602918040495e-08
2.5	8.30838240495074e-08
3.5	7.94171961995774e-08
4.5	7.50179606151434e-08
5.5	7.00788227350506e-08
6.5	6.47144987328798e-08
7.5	5.89797026420924e-08
8.5	5.28992546931584e-08
9.5	4.64982667261484e-08
10.5	3.98276382351369e-08
11.5	3.29843397171325e-08
12.5	2.61275252934881e-08
13.5	1.94916330071361e-08
14.5	1.3397227732199e-08
15.5	8.25988424243574e-09
16.5	4.59705641937996e-09
17.5	3.03265019332294e-09
18.5	4.29888461609532e-09
19.5	9.23495639683941e-09
20.5	1.87819968247329e-08
21.5	3.39738149680595e-08
22.5	5.5922953451782e-08
23.5	8.58016435590056e-08
24.5	1.24817337943252e-07
25.5	1.7418262618222e-07
26.5	2.35079505521712e-07
27.5	3.08618191100417e-07
28.5	3.95790910582539e-07
29.5	4.97421439638689e-07
30.5	6.14111496333161e-07
31.5	7.46185518799298e-07
32.5	8.93635789611889e-07
33.5	1.05607032128382e-06
34.5	1.23266634904757e-06
35.5	1.42213264660191e-06
36.5	1.62268413356332e-06
37.5	1.83203231688997e-06
38.5	2.04739493590734e-06
39.5	2.26552769994388e-06
40.5	2.48278017327467e-06
41.5	2.6951766575945e-06
42.5	2.89852137342125e-06
43.5	3.08852542690272e-06
44.5	3.26095110201881e-06
45.5	3.41176712564686e-06
46.5	3.53730693434821e-06
47.5	3.63442085409913e-06
48.5	3.70061268665367e-06
49.5	3.73415161294778e-06
50.5	3.73415161294778e-06
51.5	3.70061268665367e-06
52.5	3.63442085409913e-06
53.5	3.53730693434821e-06
54.5	3.41176712564685e-06
55.5	3.26095110201879e-06
56.5	3.08852542690268e-06
57.5	2.89852137342115e-06
58.5	2.69517665759446e-06
59.5	2.48278017327466e-06
60.5	2.26552769994387e-06
61.5	2.04739493590734e-06
62.5	1.83203231688997e-06
63.5	1.62268413356332e-06
64.5	1.42213264660192e-06
65.5	1.23266634904757e-06
66.5	1.05607032128382e-06
67.5	8.9363578961189e-07
68.5	7.46185518799301e-07
69.5	6.14111496333167e-07
70.5	4.97421439638707e-07
71.5	3.95790910582587e-07
72.5	3.08618191100436e-07
73.5	2.35079505521719e-07
74.5	1.74182626182223e-07
75.5	1.24817337943253e-07
76.5	8.58016435590063e-08
77.5	5.5922953451783e-08
78.5	3.39738149680618e-08
79.5	1.8781996824739e-08
80.5	9.23495639684173e-09
81.5	4.29888461609621e-09
82.5	3.03265019332328e-09
83.5	4.59705641938009e-09
84.5	8.25988424243579e-09
85.5	1.3397227732199e-08
86.5	1.94916330071361e-08
87.5	2.61275252934881e-08
88.5	3.29843397171325e-08
89.5	3.98276382351369e-08
90.5	4.64982667261484e-08
91.5	5.28992546931583e-08
92.5	5.89797026420924e-08
93.5	6.47144987328798e-08
94.5	7.00788227350506e-08
95.5	7.50179606151434e-08
96.5	7.94171961995774e-08
97.5	8.30838240495074e-08
98.5	8.57602918040495e-08
99.5	8.71841141838459e-08
