solution variable
x	solution variable
0.5	8.887649778231e-29
1.5	7.43234431686774e-29
2.5	7.25040108845919e-29
3.5	8.32351606883015e-29
4.5	1.44858174066251e-28
5.5	3.37139865216473e-28
6.5	8.57883951625738e-28
7.5	2.21600160612499e-27
8.5	5.6796803400183e-27
9.5	1.42645258930334e-26
10.5	3.48167343830784e-26
11.5	8.22592028805411e-26
12.5	1.87929015641892e-25
13.5	4.15541207045208e-25
14.5	8.90673543568898e-25
15.5	1.85339043375527e-24
16.5	3.74861309137812e-24
17.5	7.37397466497198e-24
18.5	1.41097764571952e-23
19.5	2.6251379022767e-23
20.5	4.74496667450864e-23
21.5	8.3224462005612e-23
22.5	1.41469565101717e-22
23.5	2.3286396273344e-22
24.5	3.71376654727833e-22
25.5	5.76201145305649e-22
26.5	8.80024347102712e-22
27.5	1.35816728004685e-21
28.5	2.21766120014366e-21
29.5	4.04625827156924e-21
30.5	8.47356046729333e-21
31.5	1.98839341393697e-20
32.5	4.98312170973643e-20
33.5	1.28475213093213e-19
34.5	3.34356940598849e-19
35.5	8.71417128425508e-19
36.5	2.2624908230835e-18
37.5	5.80530826451333e-18
38.5	1.4527038940494e-17
39.5	3.47801462580572e-17
40.5	7.7733787285858e-17
41.5	1.57568345060493e-16
42.5	2.81413648436158e-16
43.5	4.37545969719067e-16
44.5	6.2692909548435e-16
45.5	9.93887280956032e-16
46.5	1.99395141165296e-15
47.5	4.52549613327191e-15
48.5	9.5568143042179e-15
49.5	1.50353623356393e-14
50.5	1.50353623356393e-14
51.5	9.5568143042179e-15
52.5	4.52549613327191e-15
53.5	1.99395141165296e-15
54.5	9.93887280956032e-16
55.5	6.2692909548435e-16
56.5	4.37545969719067e-16
57.5	2.81413648436158e-16
58.5	1.57568345060493e-16
59.5	7.7733787285858e-17
60.5	3.47801462580572e-17
61.5	1.4527038940494e-17
62.5	5.80530826451333e-18
63.5	2.2624908230835e-18
64.5	8.71417128425508e-19
65.5	3.34356940598849e-19
66.5	1.28475213093213e-19
67.5	4.98312170973644e-20
68.5	1.98839341393697e-20
69.5	8.47356046729333e-21
70.5	4.04625827156924e-21
71.5	2.21766120014366e-21
72.5	1.35816728004685e-21
73.5	8.80024347102712e-22
74.5	5.76201145305649e-22
75.5	3.71376654727833e-22
76.5	2.3286396273344e-22
77.5	1.41469565101717e-22
78.5	8.3224462005612e-23
79.5	4.74496667450865e-23
80.5	2.62513790227672e-23
81.5	1.41097764571959e-23
82.5	7.3739746649739e-24
83.5	3.74861309138315e-24
84.5	1.85339043376843e-24
85.5	8.90673543603352e-25
86.5	4.1554120713541e-25
87.5	1.87929015878045e-25
88.5	8.22592034987971e-26
89.5	3.48167360016936e-26
90.5	1.4264530130623e-26
91.5	5.67969143417176e-27
92.5	2.21603065099581e-27
93.5	8.57959992084728e-28
94.5	3.37338941722629e-28
95.5	1.45379363125728e-28
96.5	8.45996513605759e-29
97.5	7.60762938419386e-29
98.5	8.36758013684429e-29
99.5	8.50209670681949e-29
