solution variable
x	solution variable
0.5	4.14256790120406e-17
1.5	4.4162697197142e-17
2.5	4.97753499737484e-17
3.5	5.85484975479901e-17
4.5	7.09343708284303e-17
5.5	8.75951105305801e-17
6.5	1.0947195753237e-16
7.5	1.3788359588071e-16
8.5	1.74657141136393e-16
9.5	2.22299587764412e-16
10.5	2.84223015953061e-16
11.5	3.65041931477466e-16
12.5	4.70965606708944e-16
13.5	6.10312439462024e-16
14.5	7.94177360276776e-16
15.5	1.03728688239785e-15
16.5	1.35907871648132e-15
17.5	1.78504276460778e-15
18.5	2.34835614927462e-15
19.5	3.09183483686991e-15
20.5	4.07020602793289e-15
21.5	5.35267667684049e-15
22.5	7.0257318852143e-15
23.5	9.19604099285296e-15
24.5	1.19932784679709e-14
25.5	1.55725823117759e-14
26.5	2.01162790404577e-14
27.5	2.58344084229432e-14
28.5	3.29634952862684e-14
29.5	4.1762955510433e-14
30.5	5.25085102639787e-14
31.5	6.54820389526679e-14
32.5	8.0957451659233e-14
33.5	9.91824256400455e-14
34.5	1.20356238160344e-13
35.5	1.44604433597629e-13
36.5	1.71951659848994e-13
37.5	2.02294642612695e-13
38.5	2.35377854610027e-13
39.5	2.70774875469886e-13
40.5	3.07878611247239e-13
41.5	3.45903342792752e-13
42.5	3.83900922023126e-13
43.5	4.20792319402899e-13
44.5	4.55414203045937e-13
45.5	4.86578450189922e-13
46.5	5.13140682408701e-13
47.5	5.34072356729709e-13
48.5	5.48529917221703e-13
49.5	5.55914242995016e-13
50.5	5.55914242995016e-13
51.5	5.48529917221703e-13
52.5	5.34072356729709e-13
53.5	5.13140682408701e-13
54.5	4.86578450189922e-13
55.5	4.55414203045937e-13
56.5	4.20792319402899e-13
57.5	3.83900922023126e-13
58.5	3.45903342792752e-13
59.5	3.07878611247239e-13
60.5	2.70774875469886e-13
61.5	2.35377854610027e-13
62.5	2.02294642612695e-13
63.5	1.71951659848994e-13
64.5	1.44604433597629e-13
65.5	1.20356238160344e-13
66.5	9.91824256400456e-14
67.5	8.09574516592331e-14
68.5	6.54820389526679e-14
69.5	5.25085102639787e-14
70.5	4.1762955510433e-14
71.5	3.29634952862684e-14
72.5	2.58344084229431e-14
73.5	2.01162790404577e-14
74.5	1.55725823117759e-14
75.5	1.19932784679709e-14
76.5	9.19604099285296e-15
77.5	7.0257318852143e-15
78.5	5.35267667684049e-15
79.5	4.07020602793289e-15
80.5	3.09183483686991e-15
81.5	2.34835614927462e-15
82.5	1.78504276460778e-15
83.5	1.35907871648132e-15
84.5	1.03728688239785e-15
85.5	7.94177360276776e-16
86.5	6.10312439462024e-16
87.5	4.70965606708944e-16
88.5	3.65041931477465e-16
89.5	2.84223015953061e-16
90.5	2.22299587764412e-16
91.5	1.74657141136393e-16
92.5	1.3788359588071e-16
93.5	1.0947195753237e-16
94.5	8.75951105305801e-17
95.5	7.09343708284303e-17
96.5	5.85484975479901e-17
97.5	4.97753499737484e-17
98.5	4.41626971971419e-17
99.5	4.14256790120406e-17
