solution variable
x	solution variable
0.5	7.8255256530561e-10
1.5	7.63377759745391e-10
2.5	7.31703812033379e-10
3.5	6.976613484033e-10
4.5	6.7098348839633e-10
5.5	6.58716246494635e-10
6.5	6.64792023135484e-10
7.5	6.90627121713035e-10
8.5	7.3589937123754e-10
9.5	7.99104306414503e-10
10.5	8.77842713744198e-10
11.5	9.68936743446827e-10
12.5	1.06848117435464e-09
13.5	1.17189912863933e-09
14.5	1.27403456473584e-09
15.5	1.36929115617684e-09
16.5	1.45181752113189e-09
17.5	1.51573703634525e-09
18.5	1.55542195539034e-09
19.5	1.56581312450582e-09
20.5	1.54278655389593e-09
21.5	1.48356577967057e-09
22.5	1.38717429011252e-09
23.5	1.25491558212309e-09
24.5	1.09086012378999e-09
25.5	9.02309188068028e-10
26.5	7.00195847851927e-10
27.5	4.99374187305873e-10
28.5	3.1874000816969e-10
29.5	1.81121291919544e-10
30.5	1.12876015951784e-10
31.5	1.43140447609656e-10
32.5	3.02684649510138e-10
33.5	6.22355272105169e-10
34.5	1.13111974095417e-09
35.5	1.8537703828874e-09
36.5	2.80839978280346e-09
37.5	4.00381535476233e-09
38.5	5.43711492895515e-09
39.5	7.09168711953606e-09
40.5	8.93592011893907e-09
41.5	1.09228904764585e-08
42.5	1.29912519663312e-08
43.5	1.50674512999263e-08
44.5	1.70692665700957e-08
45.5	1.89105083116965e-08
46.5	2.05065617911137e-08
47.5	2.17803075405403e-08
48.5	2.26678610433026e-08
49.5	2.31235432652061e-08
50.5	2.31235432652061e-08
51.5	2.26678610433026e-08
52.5	2.17803075405403e-08
53.5	2.05065617911137e-08
54.5	1.89105083116965e-08
55.5	1.70692665700957e-08
56.5	1.50674512999263e-08
57.5	1.29912519663312e-08
58.5	1.09228904764585e-08
59.5	8.93592011893907e-09
60.5	7.09168711953606e-09
61.5	5.43711492895515e-09
62.5	4.00381535476233e-09
63.5	2.80839978280346e-09
64.5	1.8537703828874e-09
65.5	1.13111974095417e-09
66.5	6.22355272105169e-10
67.5	3.02684649510138e-10
68.5	1.43140447609655e-10
69.5	1.12876015951784e-10
70.5	1.81121291919544e-10
71.5	3.1874000816969e-10
72.5	4.99374187305874e-10
73.5	7.00195847851927e-10
74.5	9.02309188068027e-10
75.5	1.09086012378999e-09
76.5	1.25491558212309e-09
77.5	1.38717429011252e-09
78.5	1.48356577967057e-09
79.5	1.54278655389593e-09
80.5	1.56581312450582e-09
81.5	1.55542195539034e-09
82.5	1.51573703634526e-09
83.5	1.45181752113189e-09
84.5	1.36929115617684e-09
85.5	1.27403456473584e-09
86.5	1.17189912863933e-09
87.5	1.06848117435464e-09
88.5	9.68936743446827e-10
89.5	8.77842713744199e-10
90.5	7.99104306414504e-10
91.5	7.3589937123754e-10
92.5	6.90627121713035e-10
93.5	6.64792023135484e-10
94.5	6.58716246494635e-10
95.5	6.7098348839633e-10
96.5	6.976613484033e-10
97.5	7.31703812033379e-10
98.5	7.63377759745391e-10
99.5	7.82552565305611e-10
