sigma,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.01,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]",,,,,,,
0.01,0,1,[0.24955166 1.        ],[1.],"[1.0, 0.2495516646949641, 0.0, 0.0]",,,,,,,
0.01,0,2,[0.1438895  0.24955166 1.        ],[1.],"[1.0, 0.2495516646949641, 0.14388950224627564, 0.0]",,,,,,,
0.01,0,3,[0.06702679 0.1438895  0.24955166 1.        ],[1.],"[1.0, 0.2495516646949641, 0.14388950224627564, 0.06702679307617872]",,,,,,,
0.01,1,0,[1.],[-0.24955166  1.        ],"[1.0, 0.2495516646949641, 0.06227603335202779, 0.01554108779359764]",(4.007186252283012+0j),(-4.007186252283012+0j),[1],,,0j,[]
0.01,1,1,[-0.32704037  1.        ],[-0.57659204  1.        ],"[1.0, 0.2495516646949641, 0.14388950224627564, 0.08296554095116308]",(1.734328500684096+0j),(-0.7506252913927967+0j),[1],,,(0.5671954355263626+0j),[0.56719544]
0.01,1,2,[ 0.02764302 -0.21626962  1.        ],[-0.46582129  1.        ],"[1.0, 0.2495516646949641, 0.14388950224627564, 0.06702679307617872]",(2.1467460345706724+0j),(-1.4235447312834821+0j),[1],,,(0.20948916985695024+0j),[-0.05934255  0.33688256]
0.01,2,0,[1.],[-0.08161347 -0.24955166  1.        ],"[1.0, 0.2495516646949641, 0.14388950224627564, 0.05627464184177808]",(2.290862184018421+0j),(-1.6038953256915514+0j),[1],(-5.348588660739136+0j),(1.6038953256915514+0j),(0.2099490340712379+0j),[]
0.01,2,1,[-0.13174481  1.        ],[-0.04873633 -0.38129648  1.        ],"[1.0, 0.2495516646949641, 0.14388950224627564, 0.0670267930761787]",(2.073233729717456+0j),(-1.2459496323366628+0j),[1],(-9.89689356054517+0j),(3.949165276809001+0j),(0.32991840279104967+0j),[]
0.01,3,0,[1.],[-0.01075215 -0.08161347 -0.24955166  1.        ],"[1.0, 0.2495516646949641, 0.14388950224627564, 0.06702679307617872]",(2.122293156454724+0j),(-1.3490647197912689-0j),[1],(-4.8563623966736404+4.49871730802106j),(0.6745323598956343-1.0463713714034533j),(0.136562889551344+0j),[]
