sigma,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,rel_err,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.013219411484660288,0,1,[0.2494076 1.       ],[1.],"[1.0, 0.2494075958701454, 0.0, 0.0]","[1, 0.2494075958701454, 0.14374563631366133, 0.06693345827261868]","[0.0, 0.0, 0.14374563631366133, 0.06693345827261868]",0.14374563631366133,1.0,,,,,,,
0.013219411484660288,0,2,[0.14374564 0.2494076  1.        ],[1.],"[1.0, 0.2494075958701454, 0.14374563631366133, 0.0]","[1, 0.2494075958701454, 0.14374563631366133, 0.06693345827261868]","[0.0, 0.0, 0.0, 0.06693345827261868]",0.06693345827261868,1.0,,,,,,,
0.013219411484660288,1,0,[1.],[-0.2494076  1.       ],"[1.0, 0.2494075958701454, 0.062204148877725775, 0.015514187224742189]","[1, 0.2494075958701454, 0.14374563631366133, 0.06693345827261868]","[0.0, 0.0, 0.08154148743593556, 0.05141927104787649]",0.08154148743593556,0.5672623498497533,4.009500979756255,-4.009500979756255,[1],,,0.0,[]
0.013219411484660288,1,1,[-0.32694067  1.        ],[-0.57634827  1.        ],"[1.0, 0.24940759587014538, 0.14374563631366133, 0.08284754875700549]","[1, 0.2494075958701454, 0.14374563631366133, 0.06693345827261868]","[0.0, 2.7755575615628914e-17, 0.0, -0.015914090484386814]",-0.015914090484386814,0.2377598721937993,1.7350620322548334,-0.7508266667028679,[1],,,0.5672623498497534,[0.56726235]
0.013219411484660288,2,0,[1.],[-0.08154149 -0.2494076   1.        ],"[1.0, 0.2494075958701454, 0.14374563631366133, 0.056188319914886896]","[1, 0.2494075958701454, 0.14374563631366133, 0.06693345827261868]","[0.0, 0.0, 0.0, 0.010745138357731783]",0.010745138357731783,0.1605346359658729,2.2919981222721377,-1.6046381280718398,[1],-5.3506570174277694,1.6046381280718398,0.20995820153345907,[]
0.014508287784959394,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2493499552217376, 0.1436880905365732, 0.06689614045948332]","[0.0, 0.2493499552217376, 0.1436880905365732, 0.06689614045948332]",0.2493499552217376,1.0,,,,,,,
0.014508287784959394,0,1,[0.24934996 1.        ],[1.],"[1.0, 0.2493499552217376, 0.0, 0.0]","[1, 0.2493499552217376, 0.1436880905365732, 0.06689614045948332]","[0.0, 0.0, 0.1436880905365732, 0.06689614045948332]",0.1436880905365732,1.0,,,,,,,
0.014508287784959394,0,2,[0.14368809 0.24934996 1.        ],[1.],"[1.0, 0.2493499552217376, 0.1436880905365732, 0.0]","[1, 0.2493499552217376, 0.1436880905365732, 0.06689614045948332]","[0.0, 0.0, 0.0, 0.06689614045948332]",0.06689614045948332,1.0,,,,,,,
0.014508287784959394,1,0,[1.],[-0.24934996  1.        ],"[1.0, 0.2493499552217376, 0.06217540016908255, 0.015503433248054352]","[1, 0.2493499552217376, 0.1436880905365732, 0.06689614045948332]","[0.0, 0.0, 0.08151269036749065, 0.05139270721142897]",0.08151269036749065,0.5672891195303558,4.010427830679726,-4.010427830679726,[1],,,0.0,[]
0.014508287784959394,1,1,[-0.32690076  1.        ],[-0.57625072  1.        ],"[1.0, 0.24934995522173764, 0.14368809053657322, 0.08280036522840561]","[1, 0.2493499552217376, 0.1436880905365732, 0.06689614045948332]","[0.0, -2.7755575615628914e-17, -2.7755575615628914e-17, -0.015904224768922295]",-0.015904224768922295,0.23774502773526873,1.7353557576733898,-0.7509073178309192,[1],,,0.5672891195303557,[0.56728912]
0.014508287784959394,2,0,[1.],[-0.08151269 -0.24934996  1.        ],"[1.0, 0.2493499552217376, 0.1436880905365732, 0.056153804634328654]","[1, 0.2493499552217376, 0.1436880905365732, 0.06689614045948332]","[0.0, 0.0, 0.0, 0.010742335825154666]",0.010742335825154666,0.16058229594965837,2.2924529730114536,-1.604935564706427,[1],-5.351485304021162,1.604935564706427,0.20996186867817887,[]
0.015922827933410922,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2492867187715839, 0.1436249664530341, 0.06685521748870692]","[0.0, 0.2492867187715839, 0.1436249664530341, 0.06685521748870692]",0.2492867187715839,1.0,,,,,,,
0.015922827933410922,0,1,[0.24928672 1.        ],[1.],"[1.0, 0.2492867187715839, 0.0, 0.0]","[1, 0.2492867187715839, 0.1436249664530341, 0.06685521748870692]","[0.0, 0.0, 0.1436249664530341, 0.06685521748870692]",0.1436249664530341,1.0,,,,,,,
0.015922827933410922,0,2,[0.14362497 0.24928672 1.        ],[1.],"[1.0, 0.2492867187715839, 0.1436249664530341, 0.0]","[1, 0.2492867187715839, 0.1436249664530341, 0.06685521748870692]","[0.0, 0.0, 0.0, 0.06685521748870692]",0.06685521748870692,1.0,,,,,,,
0.015922827933410922,1,0,[1.],[-0.24928672  1.        ],"[1.0, 0.2492867187715839, 0.06214386815590276, 0.01549164098435892]","[1, 0.2492867187715839, 0.1436249664530341, 0.06685521748870692]","[0.0, 0.0, 0.08148109829713135, 0.051363576504347995]",0.08148109829713135,0.5673184844487046,4.011445154108987,-4.011445154108987,[1],,,0.0,[]
0.015922827933410922,1,1,[-0.32685696  1.        ],[-0.57614368  1.        ],"[1.0, 0.24928671877158393, 0.14362496645303413, 0.082748616092686]","[1, 0.2492867187715839, 0.1436249664530341, 0.06685521748870692]","[0.0, -2.7755575615628914e-17, -2.7755575615628914e-17, -0.015893398603979078]",-0.015893398603979078,0.2377286201583858,1.735678168830776,-0.7509958605989976,[1],,,0.5673184844487045,[0.56731848]
0.015922827933410922,2,0,[1.],[-0.0814811  -0.24928672  1.        ],"[1.0, 0.2492867187715839, 0.1436249664530341, 0.056115952257152456]","[1, 0.2492867187715839, 0.1436249664530341, 0.06685521748870692]","[0.0, 0.0, 0.0, 0.010739265231554461]",0.010739265231554461,0.16063466151117556,2.2929522319639988,-1.6052620459606646,[1],-5.352394531852099,1.6052620459606646,0.20996589109051925,[]
0.017475284000076842,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2492173458474845, 0.1435557291729817, 0.0668103367870232]","[0.0, 0.2492173458474845, 0.1435557291729817, 0.0668103367870232]",0.2492173458474845,1.0,,,,,,,
0.017475284000076842,0,1,[0.24921735 1.        ],[1.],"[1.0, 0.2492173458474845, 0.0, 0.0]","[1, 0.2492173458474845, 0.1435557291729817, 0.0668103367870232]","[0.0, 0.0, 0.1435557291729817, 0.0668103367870232]",0.1435557291729817,1.0,,,,,,,
0.017475284000076842,0,2,[0.14355573 0.24921735 1.        ],[1.],"[1.0, 0.2492173458474845, 0.1435557291729817, 0.0]","[1, 0.2492173458474845, 0.1435557291729817, 0.0668103367870232]","[0.0, 0.0, 0.0, 0.0668103367870232]",0.0668103367870232,1.0,,,,,,,
0.017475284000076842,1,0,[1.],[-0.24921735  1.        ],"[1.0, 0.2492173458474845, 0.0621092854712647, 0.015478711277632319]","[1, 0.2492173458474845, 0.1435557291729817, 0.0668103367870232]","[0.0, 0.0, 0.081446443701717, 0.051331625509390875]",0.081446443701717,0.5673507018558326,4.012561792596804,-4.012561792596804,[1],,,0.0,[]
0.017475284000076842,1,1,[-0.32680889  1.        ],[-0.57602623  1.        ],"[1.0, 0.2492173458474845, 0.1435557291729817, 0.0826918660428968]","[1, 0.2492173458474845, 0.1435557291729817, 0.0668103367870232]","[0.0, 0.0, 0.0, -0.015881529255873605]",-0.015881529255873605,0.2377106600510107,1.7360320433271088,-0.7510930451012583,[1],,,0.5673507018558327,[0.5673507]
0.017475284000076842,2,0,[1.],[-0.08144644 -0.24921735  1.        ],"[1.0, 0.2492173458474845, 0.1435557291729817, 0.05607444433374928]","[1, 0.2492173458474845, 0.1435557291729817, 0.0668103367870232]","[0.0, 0.0, 0.0, 0.010735892453273915]",0.010735892453273915,0.1606920870268564,2.2935002210476068,-1.6056203929685717,[1],-5.353392519847028,1.6056203929685717,0.20997030393559896,[]
0.019179102616724886,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2491412440623533, 0.14347979302888328, 0.06676112591316696]","[0.0, 0.2491412440623533, 0.14347979302888328, 0.06676112591316696]",0.2491412440623533,1.0,,,,,,,
0.019179102616724886,0,1,[0.24914124 1.        ],[1.],"[1.0, 0.2491412440623533, 0.0, 0.0]","[1, 0.2491412440623533, 0.14347979302888328, 0.06676112591316696]","[0.0, 0.0, 0.14347979302888328, 0.06676112591316696]",0.14347979302888328,1.0,,,,,,,
0.019179102616724886,0,2,[0.14347979 0.24914124 1.        ],[1.],"[1.0, 0.2491412440623533, 0.14347979302888328, 0.0]","[1, 0.2491412440623533, 0.14347979302888328, 0.06676112591316696]","[0.0, 0.0, 0.0, 0.06676112591316696]",0.06676112591316696,1.0,,,,,,,
0.019179102616724886,1,0,[1.],[-0.24914124  1.        ],"[1.0, 0.2491412440623533, 0.062071359492937093, 0.01546453572471191]","[1, 0.2491412440623533, 0.14347979302888328, 0.06676112591316696]","[0.0, 0.0, 0.08140843353594618, 0.05129659018845505]",0.08140843353594618,0.5673860535856656,4.0137874552385515,-4.0137874552385515,[1],,,0.0,[]
0.019179102616724886,1,1,[-0.32675615  1.        ],[-0.57589739  1.        ],"[1.0, 0.24914124406235327, 0.14347979302888325, 0.08262963880223279]","[1, 0.2491412440623533, 0.14347979302888328, 0.06676112591316696]","[0.0, 2.7755575615628914e-17, 2.7755575615628914e-17, -0.015868512889065822]",-0.015868512889065822,0.23769091176960147,1.7364204310790985,-0.7511996953236083,[1],,,0.5673860535856657,[0.56738605]
0.019179102616724886,2,0,[1.],[-0.08140843 -0.24914124  1.        ],"[1.0, 0.2491412440623533, 0.14347979302888328, 0.05602893254133798]","[1, 0.2491412440623533, 0.14347979302888328, 0.06676112591316696]","[0.0, 0.0, 0.0, 0.010732193371828985]",0.010732193371828985,0.16075512845286405,2.294101685752646,-1.606013703457752,[1],-5.354487855108725,1.606013703457752,0.20997514572822604,[]
0.02104904144512021,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2490577644746919, 0.14339651032972098, 0.0667073665961138]","[0.0, 0.2490577644746919, 0.14339651032972098, 0.0667073665961138]",0.2490577644746919,1.0,,,,,,,
0.02104904144512021,0,1,[0.24905776 1.        ],[1.],"[1.0, 0.2490577644746919, 0.0, 0.0]","[1, 0.2490577644746919, 0.14339651032972098, 0.0667073665961138]","[0.0, 0.0, 0.14339651032972098, 0.0667073665961138]",0.14339651032972098,1.0,,,,,,,
0.02104904144512021,0,2,[0.14339651 0.24905776 1.        ],[1.],"[1.0, 0.2490577644746919, 0.14339651032972098, 0.0]","[1, 0.2490577644746919, 0.14339651032972098, 0.0667073665961138]","[0.0, 0.0, 0.0, 0.0667073665961138]",0.0667073665961138,1.0,,,,,,,
0.02104904144512021,1,0,[1.],[-0.24905776  1.        ],"[1.0, 0.2490577644746919, 0.062029770045131105, 0.015448995858319563]","[1, 0.2490577644746919, 0.14339651032972098, 0.0667073665961138]","[0.0, 0.0, 0.08136674028458987, 0.05125837073779424]",0.08136674028458987,0.5674248285226607,4.015132803063505,-4.015132803063505,[1],,,0.0,[]
0.02104904144512021,1,1,[-0.32669827  1.        ],[-0.57575603  1.        ],"[1.0, 0.2490577644746919, 0.14339651032972098, 0.08256140585744014]","[1, 0.2490577644746919, 0.14339651032972098, 0.0667073665961138]","[0.0, 0.0, 0.0, -0.015854039261326336]",-0.015854039261326336,0.23766549438709145,1.7368467607894857,-0.7513167853783733,[1],,,0.5674248285226606,[0.56742483]
0.02104904144512021,2,0,[1.],[-0.08136674 -0.24905776  1.        ],"[1.0, 0.2490577644746919, 0.14339651032972098, 0.05597903273406518]","[1, 0.2490577644746919, 0.14339651032972098, 0.0667073665961138]","[0.0, 0.0, 0.0, 0.01072833386204862]",0.01072833386204862,0.1608268233252911,2.2947618924911617,-1.6064454335294218,[1],-5.355690271870533,1.6064454335294218,0.20998045592818282,[]
0.023101297000831602,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.24896619631860234, 0.1433051757138407, 0.06664798436070254]","[0.0, 0.24896619631860234, 0.1433051757138407, 0.06664798436070254]",0.24896619631860234,1.0,,,,,,,
