sigma,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,rel_err,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.01,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.489756159319821, 0.25142333627329505]","[0.0, 0.489756159319821, 0.25142333627329505]",0.489756159319821,1.0,,,,,,,
0.01,0,1,[0.48975616 1.        ],[1.],"[1.0, 0.489756159319821, 0.0]","[1, 0.489756159319821, 0.25142333627329505]","[0.0, 0.0, 0.25142333627329505]",0.25142333627329505,1.0,,,,,,,
0.01,1,0,[1.],[-0.48975616  1.        ],"[1.0, 0.489756159319821, 0.2398610955917019]","[1, 0.489756159319821, 0.25142333627329505]","[0.0, 0.0, 0.011562240681593144]",0.011562240681593144,0.04598714205679415,2.0418324118451343,-2.0418324118451343,[1],,,0.0,[]
0.011233240329780276,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4805022070300357, 0.2421272303442039]","[0.0, 0.4805022070300357, 0.2421272303442039]",0.4805022070300357,1.0,,,,,,,
0.011233240329780276,0,1,[0.48050221 1.        ],[1.],"[1.0, 0.4805022070300357, 0.0]","[1, 0.4805022070300357, 0.2421272303442039]","[0.0, 0.0, 0.2421272303442039]",0.2421272303442039,1.0,,,,,,,
0.011233240329780276,1,0,[1.],[-0.48050221  1.        ],"[1.0, 0.4805022070300357, 0.2308823709607353]","[1, 0.4805022070300357, 0.2421272303442039]","[0.0, 0.0, 0.011244859383468586]",0.011244859383468586,0.04644194445822177,2.0811558934993424,-2.0811558934993424,[1],,,0.0,[]
0.012618568830660204,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4712483692930623, 0.2330307098828919]","[0.0, 0.4712483692930623, 0.2330307098828919]",0.4712483692930623,1.0,,,,,,,
0.012618568830660204,0,1,[0.47124837 1.        ],[1.],"[1.0, 0.4712483692930623, 0.0]","[1, 0.4712483692930623, 0.2330307098828919]","[0.0, 0.0, 0.2330307098828919]",0.2330307098828919,1.0,,,,,,,
0.012618568830660204,1,0,[1.],[-0.47124837  1.        ],"[1.0, 0.4712483692930623, 0.22207502556137043]","[1, 0.4712483692930623, 0.2330307098828919]","[0.0, 0.0, 0.01095568432152147]",0.01095568432152147,0.04701390785372099,2.122023258139096,-2.122023258139096,[1],,,0.0,[]
0.014174741629268055,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4619945674715374, 0.22412167514409095]","[0.0, 0.4619945674715374, 0.22412167514409095]",0.4619945674715374,1.0,,,,,,,
0.014174741629268055,0,1,[0.46199457 1.        ],[1.],"[1.0, 0.4619945674715374, 0.0]","[1, 0.4619945674715374, 0.22412167514409095]","[0.0, 0.0, 0.22412167514409095]",0.22412167514409095,1.0,,,,,,,
0.014174741629268055,1,0,[1.],[-0.46199457  1.        ],"[1.0, 0.4619945674715374, 0.2134389803732129]","[1, 0.4619945674715374, 0.22412167514409095]","[0.0, 0.0, 0.010682694770878048]",0.010682694770878048,0.04766471053730075,2.164527616575509,-2.164527616575509,[1],,,0.0,[]
0.015922827933410922,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4527409487660052, 0.21541754435077773]","[0.0, 0.4527409487660052, 0.21541754435077773]",0.4527409487660052,1.0,,,,,,,
0.015922827933410922,0,1,[0.45274095 1.        ],[1.],"[1.0, 0.4527409487660052, 0.0]","[1, 0.4527409487660052, 0.21541754435077773]","[0.0, 0.0, 0.21541754435077773]",0.21541754435077773,1.0,,,,,,,
0.015922827933410922,1,0,[1.],[-0.45274095  1.        ],"[1.0, 0.4527409487660052, 0.20497436668954253]","[1, 0.4527409487660052, 0.21541754435077773]","[0.0, 0.0, 0.010443177661235203]",0.010443177661235203,0.04847877034671758,2.2087686186230977,-2.2087686186230977,[1],,,0.0,[]
0.01788649529057435,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4434874612782417, 0.20690175103733852]","[0.0, 0.4434874612782417, 0.20690175103733852]",0.4434874612782417,1.0,,,,,,,
0.01788649529057435,0,1,[0.44348746 1.        ],[1.],"[1.0, 0.4434874612782417, 0.0]","[1, 0.4434874612782417, 0.20690175103733852]","[0.0, 0.0, 0.20690175103733852]",0.20690175103733852,1.0,,,,,,,
0.01788649529057435,1,0,[1.],[-0.44348746  1.        ],"[1.0, 0.4434874612782417, 0.19668112831101991]","[1, 0.4434874612782417, 0.20690175103733852]","[0.0, 0.0, 0.010220622726318601]",0.010220622726318601,0.049398435127183324,2.254855181514603,-2.254855181514603,[1],,,0.0,[]
0.02009233002565047,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4342341459120333, 0.198584431346095]","[0.0, 0.4342341459120333, 0.198584431346095]",0.4342341459120333,1.0,,,,,,,
0.02009233002565047,0,1,[0.43423415 1.        ],[1.],"[1.0, 0.4342341459120333, 0.0]","[1, 0.4342341459120333, 0.198584431346095]","[0.0, 0.0, 0.198584431346095]",0.198584431346095,1.0,,,,,,,
