sigma,u2_GQ,u3_GQ
0.01,0.48975615931982097,0.12595037835135484
2.05061224489796,0.07816469921781549,0.00382054863428893
4.09122448979592,0.04035868344111711,0.0011133574916294
6.13183673469388,0.02452025128661086,4.3716046300109e-4
8.17244897959184,0.01631882530930835,2.0239215815836e-4
10.2130612244898,0.0115557347967581,1.0482697622645e-4
12.2536734693878,0.00856684779118632,5.901297757270561e-5
14.2942857142857,0.00658036586364575,3.5457224746835444e-5
16.3348979591837,0.00519948700849681,2.2449409524163073e-5
18.3755102040816,0.00420418698609916,1.483727284884417e-5
20.4161224489796,0.00346504536703276,1.0165951025219376e-5
22.4567346938776,0.00290219950336096,7.1809568595808315e-6
24.4973469387755,0.00246436124419098,5.205929626459209e-6
26.5379591836735,0.00211745863002855,3.860679360269913e-6
28.5785714285714,0.00183818754468631,2.921204087838746e-6
30.6191836734694,0.00161019937110421,2.249026710382643e-6
32.6597959183673,0.00142176670581748,1.7589004325327292e-6
34.7004081632653,0.00126430959658913,1.3947935515237772e-6
36.7410204081633,0.00113143954157945,1.119287921517178e-6
38.7816326530612,0.00101832422231729,9.078061981802166e-7
40.8222448979592,9.2125614712637e-4,7.43666836005946e-7
42.8628571428571,8.3735399222628e-4,6.143101897863277e-7
44.9034693877551,7.6435213519156e-4,5.114827896451258e-7
46.9440816326531,7.0044993788681e-4,4.3760376768719937e-7
48.984693877551,6.4420221696948e-4,3.627830470164067e-7
51.025306122449,5.9443856572936e-4,3.088577875662101e-7
53.0659183673469,5.5020318877814e-4,2.647423896279534e-7
55.1065306122449,5.1070951200517e-4,2.284280181825315e-7
57.1471428571429,4.7530557798097e-4,1.982920463403712e-7
59.1877551020408,4.4344742859975e-4,1.7317756233634282e-7
61.2283673469388,4.1467825074409e-4,1.5205298011893258e-7
63.2689795918367,3.8861244313108e-4,1.34188909408973e-7
65.3095918367347,3.6492249850226e-4,1.1889911167665145e-7
67.3502040816327,3.433289418426e-4,1.0585478600279614e-7
69.3908163265306,3.2359211708102e-4,9.45590802712416e-8
71.4314285714286,3.0550558745398e-4,8.476826216658695e-8
73.4720408163265,2.8889076368356e-4,7.674554171434768e-8
75.5126530612245,2.7359253120061e-4,6.91680725296889e-8
77.5532653061225,2.5947564516034e-4,6.245500637455935e-8
79.5938775510204,2.4642175750174e-4,5.648440072073278e-8
81.6344897959184,2.3432697343653e-4,5.12434456616475e-8
83.6751020408163,2.2309969041712e-4,4.6418304094149165e-8
85.7157142857143,2.1265907487309e-4,4.2140147820638775e-8
87.7563265306122,2.0293341274393e-4,3.8295384750130436e-8
89.7969387755102,1.9385898264419e-4,3.4833120240085444e-8
91.8375510204082,1.8537899806366e-4,3.170942833776594e-8
93.8781632653061,1.7744272061373e-4,2.8893621353320546e-8
95.9187755102041,1.7000470435972e-4,2.620551040961205e-8
97.959387755102,1.6302415092255e-4,2.3882271123198284e-8
100,1.5646434600398e-4,2.1782072489568357e-8
