pole_2,poles,poly_type,remainder,res_2,residues,sigma
,,0_0,,,,0.01
,,0_1,,,,0.01
,,0_2,,,,0.01
,,0_3,,,,0.01
,4.0071862522869255,1_0,0.0,,-4.0071862522869255,0.01
,1.7343285006824023,1_1,0.567195435527208,,-0.7506252913905975,0.01
,2.1467460345706724,1_2,0.2094891698564272,,-1.4235447312834817,0.01
(-5.3485886607314646+0j),2.2908621840182923,2_0,0.20994903407135374,(1.6038953256907986+0j),-1.6038953256907986,0.01
(-9.896893560521416+0j),2.0732337297170087,2_1,0.32991840279122164,(3.9491652768030754+0j),-1.2459496323356498,0.01
(-4.856362396670441+4.498717308014201j),2.1222931564543646,3_0,0.13656288955140317,(0.6745323598951808-1.0463713714038116j),-1.3490647197903614,0.01
,,0_0,,,,0.11009009009009008
,,0_1,,,,0.11009009009009008
,,0_2,,,,0.11009009009009008
,,0_3,,,,0.11009009009009008
,4.079417127423549,1_0,0.0,,-4.079417127423549,0.11009009009009008
,1.7572036866064844,1_1,0.5692512847500136,,-0.7569132304382828,0.11009009009009008
,2.1730366998503254,1_2,0.2152035404341974,,-1.4314657539336313,0.11009009009009008
(-5.413164296182327+0j),2.326296099866952,2_0,0.2102300708967793,(1.6270673077642557+0j),-1.6270673077642557,0.11009009009009008
(-10.155617227662315+0j),2.0997423723348376,2_1,0.33323933520368404,(4.083967885785138+0j),-1.2553544612111247,0.11009009009009008
(-4.8451850418001285+4.5437180393324255j),2.151630563777876,3_0,0.13711560262170228,(0.6819785228013675-1.0501703516151082j),-1.3639570456027352,0.11009009009009008
,,0_0,,,,0.21018018018018012
,,0_1,,,,0.21018018018018012
,,0_2,,,,0.21018018018018012
,,0_3,,,,0.21018018018018012
,4.152195461373973,1_0,0.0,,-4.152195461373973,0.21018018018018012
,1.780217806938925,1_1,0.5712586694197083,,-0.7632529512697236,0.21018018018018012
,2.1994578033350596,1_2,0.22079794807896486,,-1.439447975033769,0.21018018018018012
(-5.478276601977419+0j),2.361968872683276,2_0,0.21050324996651734,(1.6503971529513568+0j),-1.6503971529513568,0.21018018018018012
(-10.418283415433478+0j),2.1263781082013504,2_1,0.33650919625748865,(4.2213939666405995+0j),-1.2647889808158816,0.21018018018018012
(-4.836972774601088+4.588456936400101j),2.1811590979084485,3_0,0.13764870617744965,(0.689486948342983-1.054583358832091j),-1.3789738966859657,0.21018018018018012
,,0_0,,,,0.3102702702702703
,,0_1,,,,0.3102702702702703
,,0_2,,,,0.3102702702702703
,,0_3,,,,0.3102702702702703
,4.2255146725173915,1_0,0.0,,-4.2255146725173915,0.3102702702702703
,1.803369846292369,1_1,0.5732188890452974,,-0.7696441864628685,0.3102702702702703
,2.226008876602065,1_2,0.22627486741041986,,-1.4474922852927257,0.3102702702702703
(-5.543918523954755+0j),2.3978780135035,2_0,0.2107688429837587,(1.6738832674124975+0j),-1.6738832674124975,0.3102702702702703
(-10.684885381658095+0j),2.1531403196881262,2_1,0.33972839615820055,(4.36144188135611+0j),-1.2742543016083514,0.3102702702702703
(-4.831492823092553+4.633031937497137j),2.210876912198145,3_0,0.13816309602531082,(0.6970568112565971-1.0595506047868104j),-1.3941136225131943,0.3102702702702703
,,0_0,,,,0.4103603603603603
,,0_1,,,,0.4103603603603603
,,0_2,,,,0.4103603603603603
,,0_3,,,,0.4103603603603603
,4.2993681824218175,1_0,0.0,,-4.2993681824218175,0.4103603603603603
,1.8266587253361453,1_1,0.5751332177587091,,-0.7760866148865461,0.4103603603603603
,2.252688857053055,1_2,0.23163723042547518,,-1.4555984304359018,0.4103603603603603
(-5.610082939589954+0j),2.434020996142096,2_0,0.2110271119567207,(1.6975240218372247+0j),-1.6975240218372247,0.4103603603603603
(-10.955427580003379+0j),2.1800279795493576,2_1,0.3428975832576202,(4.504115966358505+0j),-1.2837508823670396,0.4103603603603603
(-4.828532427569351+4.677523366616999j),2.2407819091280365,3_0,0.13865964631344674,(0.7046871436431241-1.0650197844004854j),-1.4093742872862483,0.4103603603603603
,,0_0,,,,0.5104504504504505
,,0_1,,,,0.5104504504504505
,,0_2,,,,0.5104504504504505
,,0_3,,,,0.5104504504504505
,4.373749419841577,1_0,0.0,,-4.373749419841577,0.5104504504504505
,1.8500833613738863,1_1,0.5770028907049506,,-0.7825799138160222,0.5104504504504505
,2.2794967002017716,1_2,0.23688787287433377,,-1.463766178856151,0.5104504504504505
(-5.676762878567793+0j),2.4703953002120667,2_0,0.21127830775364342,(1.7213177930138641+0j),-1.7213177930138641,0.5104504504504505
(-11.229913282999377+0j),2.20704007255497,2_1,0.34601740534497905,(4.649419735830425+0j),-1.2932791723136299,0.5104504504504505
(-4.827901826028118+4.721997842183161j),2.270872014709769,3_0,0.13913917912794566,(0.7123770102121135-1.0709457000723173j),-1.4247540204242268,0.5104504504504505
,,0_0,,,,0.6105405405405405
,,0_1,,,,0.6105405405405405
,,0_2,,,,0.6105405405405405
,,0_3,,,,0.6105405405405405
,4.448651824547453,1_0,0.0,,-4.448651824547453,0.6105405405405405
,1.8736426180903716,1_1,0.5788291167783238,,-0.7891237163028956,0.6105405405405405
,2.306431394355284,1_2,0.24202949068562377,,-1.471995388578545,0.6105405405405405
(-5.743951328217919+0j),2.506998376509501,2_0,0.21152267219779758,(1.7452629297135727+0j),-1.7452629297135727,0.6105405405405405
(-11.508342841070132+0j),2.2341755902653184,2_1,0.3490884929863865,(4.797355049032532+0j),-1.302839628485098,0.6105405405405405
(-4.829431529859119+4.766510647628511j),2.3011451601945145,3_0,0.1396024667233903,(0.7201255022802935-1.0772891324658644j),-1.4402510045605867,0.6105405405405405
,,0_0,,,,0.7106306306306306
,,0_1,,,,0.7106306306306306
,,0_2,,,,0.7106306306306306
,,0_3,,,,0.7106306306306306
,4.524068850990351,1_0,0.0,,-4.524068850990351,0.7106306306306306
,1.8973354274345997,1_1,0.5806130521158493,,-0.7957177140242672,0.7106306306306306
,2.3334918606965345,1_2,0.24706481578793724,,-1.4802857192298395,0.7106306306306306
(-5.811641676599633+0j),2.5438277331817263,2_0,0.21176043487878915,(1.7693578358317206+0j),-1.7693578358317206,0.7106306306306306
(-11.790719356737938+0j),2.2614335013772644,2_1,0.35211152173629634,(4.94792492654199+0j),-1.312432609011237,0.7106306306306306
(-4.832968416659648+4.811107802927693j),2.331599299421049,3_0,0.14005024174137604,(0.7279317291783004-1.0840156529454574j),-1.455863458356601,0.7106306306306306
,,0_0,,,,0.8107207207207207
,,0_1,,,,0.8107207207207207
,,0_2,,,,0.8107207207207207
,,0_3,,,,0.8107207207207207
,4.5999939718026415,1_0,0.0,,-4.5999939718026415,0.8107207207207207
,1.9211606674075683,1_1,0.582355829337162,,-0.8023615536494981,0.8107207207207207
,2.360677095617387,1_2,0.25199640691503467,,-1.4886370022966555,0.8107207207207207
(-5.8798272517734675+0j),2.58088085057708,2_0,0.211991817412069,(1.79360088721031+0j),-1.79360088721031,0.8107207207207207
(-12.077041936909307+0j),2.288812809930363,2_1,0.3550871312113318,(5.101130149453992+0j),-1.3220585258775726,0.8107207207207207
(-4.8383753198002895+4.85582761461353j),2.3622324074469265,3_0,0.14048319126854458,(0.7357948347755247-1.0910951527621118j),-1.4715896695510489,0.8107207207207207
,,0_0,,,,0.9108108108108108
,,0_1,,,,0.9108108108108108
,,0_2,,,,0.9108108108108108
,,0_3,,,,0.9108108108108108
,4.676420681137176,1_0,0.0,,-4.676420681137176,0.9108108108108108
,1.9451172237074805,1_1,0.5840585446999431,,-0.8090548887580957,0.9108108108108108
,2.387986057695346,1_2,0.25682679461746755,,-1.4970489759685008,0.9108108108108108
(-5.948501542853597+0j),2.6181552250768845,2_0,0.21221703203217793,(1.8179904737285768+0j),-1.8179904737285768,0.9108108108108108
(-12.3673101293693+0j),2.3163124980769396,2_1,0.3580159804140628,(5.256971550995282+0j),-1.3317177253875716,0.9108108108108108
(-4.845527932561954+4.900701921307763j),2.393042464470366,3_0,0.14090196616545272,(0.743713976256634-1.0985010022715054j),-1.4874279525132683,0.9108108108108108
,,0_0,,,,1.010900900900901
,,0_1,,,,1.010900900900901
,,0_2,,,,1.010900900900901
,,0_3,,,,1.010900900900901
,4.753342497852325,1_0,0.0,,-4.753342497852325,1.010900900900901
,1.9692039784537658,1_1,0.58572226189392,,-0.8157973700633201,1.010900900900901
,2.415417710069581,1_2,0.2615584375804698,,-1.5055213758800794,1.010900900900901
(-6.017658151295203+0j),2.655648361729772,2_0,0.21243628239525933,(1.8425249917016158+0j),-1.8425249917016158,1.010900900900901
(-12.661522578090075+0j),2.343931551126078,2_1,0.3608987280310654,(5.415449308762607+0j),-1.34141053360661,1.010900900900901
(-4.854313659226918+4.945757191640839j),2.424027467058422,3_0,0.14130718135825074,(0.7516883321826523-1.106209603560971j),-1.5033766643653041,1.010900900900901
,,0_0,,,,1.110990990990991
,,0_1,,,,1.110990990990991
,,0_2,,,,1.110990990990991
,,0_3,,,,1.110990990990991
,4.830752968531979,1_0,0.0,,-4.830752968531979,1.110990990990991
,1.993419810109325,1_1,0.5873480132197473,,-0.8225886451287271,1.110990990990991
,2.4429710361717865,1_2,0.2661937120089476,,-1.5140539646082,1.110990990990991
(-6.087290784172434+0j),2.6933577747088977,2_0,0.21264976401035568,(1.867202843903985+0j),-1.867202843903985,1.110990990990991
(-12.959676586311431+0j),2.371668968406307,2_1,0.3637360257748813,(5.5765627018544235+0j),-1.351137273631625,1.110990990990991
(-4.864630374205941+4.991015419564319j),2.4551854339969554,3_0,0.1416994175596833,(0.7597171052373661-1.1141999792026391j),-1.5194342104747323,1.110990990990991
,,0_0,,,,1.211081081081081
,,0_1,,,,1.211081081081081
,,0_2,,,,1.211081081081081
,,0_3,,,,1.211081081081081
,4.908645670366269,1_0,0.0,,-4.908645670366269,1.211081081081081
,2.017763594408553,1_1,0.5889368005130441,,-0.8294283589258802,1.211081081081081
