solution variable
x	solution variable
0.5	9.5395349049119e-31
1.5	9.21830849456116e-31
2.5	8.25462926350893e-31
3.5	7.65697024375552e-31
4.5	6.8276724155475e-31
5.5	5.92351408220312e-31
6.5	5.02641304190427e-31
7.5	4.22534438587837e-31
8.5	3.70531558962577e-31
9.5	2.94629785689389e-31
10.5	2.1753495864771e-31
11.5	1.60759863948489e-31
12.5	1.16833213468818e-31
13.5	9.11321633053385e-32
14.5	5.79556632945709e-32
15.5	3.34310200020611e-32
16.5	1.76854934234557e-32
17.5	7.2995086242278e-33
18.5	4.21303244922765e-33
19.5	5.33958872345515e-33
20.5	1.18057337211378e-32
21.5	3.00776124399583e-32
22.5	7.8427103598737e-32
23.5	2.05203698356253e-31
24.5	5.37183991470021e-31
25.5	1.38169637276565e-30
26.5	3.55860132025063e-30
27.5	8.99828474852835e-30
28.5	2.20557463411977e-29
29.5	5.2041358391128e-29
30.5	1.18291110727766e-28
31.5	2.57078041289352e-28
32.5	5.34613877357138e-28
33.5	1.05961822128161e-27
34.5	2.00684117506913e-27
35.5	3.62930809591269e-27
36.5	6.27468668181873e-27
37.5	1.03858558713162e-26
38.5	1.64767791260948e-26
39.5	2.50595553792101e-26
40.5	3.658853811638e-26
41.5	5.13340872354602e-26
42.5	6.92490321608266e-26
43.5	8.98710141698169e-26
44.5	1.12264024453541e-25
45.5	1.35041650168743e-25
46.5	1.56495274532561e-25
47.5	1.74753482663242e-25
48.5	1.88081591909543e-25
49.5	1.95115966018929e-25
50.5	1.95115966018929e-25
51.5	1.88081591909543e-25
52.5	1.74753482663242e-25
53.5	1.56495274532561e-25
54.5	1.35041650168743e-25
55.5	1.12264024453541e-25
56.5	8.98710141698169e-26
57.5	6.92490321608266e-26
58.5	5.13340872354602e-26
59.5	3.658853811638e-26
60.5	2.50595553792101e-26
61.5	1.64767791260948e-26
62.5	1.03858558713162e-26
63.5	6.27468668181873e-27
64.5	3.62930809591269e-27
65.5	2.00684117506912e-27
66.5	1.05961822128161e-27
67.5	5.34613877357138e-28
68.5	2.57078041289352e-28
69.5	1.18291110727766e-28
70.5	5.2041358391128e-29
71.5	2.20557463411977e-29
72.5	8.99828474852835e-30
73.5	3.55860132025063e-30
74.5	1.38169637276565e-30
75.5	5.37183991470021e-31
76.5	2.05203698356253e-31
77.5	7.84271035987369e-32
78.5	3.00776124399582e-32
79.5	1.18057337211378e-32
80.5	5.33958872345515e-33
81.5	4.21303244922765e-33
82.5	7.29950862422779e-33
83.5	1.76854934234557e-32
84.5	3.34310200020611e-32
85.5	5.79556632945709e-32
86.5	9.11321633053385e-32
87.5	1.16833213468818e-31
88.5	1.60759863948489e-31
89.5	2.1753495864771e-31
90.5	2.94629785689389e-31
91.5	3.70531558962577e-31
92.5	4.22534438587836e-31
93.5	5.02641304190427e-31
94.5	5.92351408220312e-31
95.5	6.8276724155475e-31
96.5	7.65697024375551e-31
97.5	8.25462926350893e-31
98.5	9.21830849456116e-31
99.5	9.5395349049119e-31
