solution variable
x	solution variable
0.5	3.01630566397061e-18
1.5	2.87529270832836e-18
2.5	2.61272874139327e-18
3.5	2.262589289542e-18
4.5	1.8656509458388e-18
5.5	1.46184770517306e-18
6.5	1.08462110354241e-18
7.5	7.57816500997503e-19
8.5	4.94757794466678e-19
9.5	2.98866751053712e-19
10.5	1.65323914412602e-19
11.5	8.34924071341839e-20
12.5	3.99840756657259e-20
13.5	2.23109471840626e-20
14.5	2.3062891088538e-20
15.5	4.45260839118057e-20
16.5	1.0362954733647e-19
17.5	2.37088429424199e-19
18.5	5.06602349955252e-19
19.5	1.00395937439665e-18
20.5	1.85588501884559e-18
21.5	3.22845411991212e-18
22.5	5.33084822652303e-18
23.5	8.41818908683147e-18
24.5	1.27931107202636e-17
25.5	1.88056533977616e-17
26.5	2.68509774977468e-17
27.5	3.73643214964785e-17
28.5	5.0812575091736e-17
29.5	6.76818375879574e-17
30.5	8.8460399482344e-17
31.5	1.13616746069357e-16
32.5	1.43572470558395e-16
33.5	1.78670406871385e-16
34.5	2.19138834874211e-16
35.5	2.65053297243148e-16
36.5	3.16298295619072e-16
37.5	3.72531868294715e-16
38.5	4.33156673355858e-16
39.5	4.97301557390607e-16
40.5	5.63817608305542e-16
41.5	6.31292173146756e-16
42.5	6.98083291453159e-16
43.5	7.62375357566537e-16
44.5	8.22254790652043e-16
45.5	8.75802155090555e-16
46.5	9.21194920068172e-16
47.5	9.56813166179511e-16
48.5	9.81339361280937e-16
49.5	9.93843170800442e-16
50.5	9.93843170800442e-16
51.5	9.81339361280937e-16
52.5	9.56813166179511e-16
53.5	9.21194920068172e-16
54.5	8.75802155090555e-16
55.5	8.22254790652043e-16
56.5	7.62375357566537e-16
57.5	6.98083291453159e-16
58.5	6.31292173146756e-16
59.5	5.63817608305542e-16
60.5	4.97301557390607e-16
61.5	4.33156673355858e-16
62.5	3.72531868294715e-16
63.5	3.16298295619072e-16
64.5	2.65053297243148e-16
65.5	2.19138834874211e-16
66.5	1.78670406871385e-16
67.5	1.43572470558394e-16
68.5	1.13616746069357e-16
69.5	8.84603994823439e-17
70.5	6.76818375879574e-17
71.5	5.0812575091736e-17
72.5	3.73643214964785e-17
73.5	2.68509774977468e-17
74.5	1.88056533977616e-17
75.5	1.27931107202637e-17
76.5	8.41818908683147e-18
77.5	5.33084822652303e-18
78.5	3.22845411991212e-18
79.5	1.85588501884559e-18
80.5	1.00395937439665e-18
81.5	5.06602349955252e-19
82.5	2.37088429424199e-19
83.5	1.0362954733647e-19
84.5	4.45260839118057e-20
85.5	2.3062891088538e-20
86.5	2.23109471840626e-20
87.5	3.99840756657259e-20
88.5	8.34924071341839e-20
89.5	1.65323914412602e-19
90.5	2.98866751053712e-19
91.5	4.94757794466678e-19
92.5	7.57816500997503e-19
93.5	1.08462110354241e-18
94.5	1.46184770517306e-18
95.5	1.8656509458388e-18
96.5	2.262589289542e-18
97.5	2.61272874139327e-18
98.5	2.87529270832836e-18
99.5	3.01630566397061e-18
