solution variable
x	solution variable
0.5	8.25802666404694e+69
1.5	1.71587193296974e+70
2.5	4.39740948590867e+70
3.5	1.10737366890041e+71
4.5	2.77889771629571e+71
5.5	6.9641155021e+71
6.5	1.74343648419211e+72
7.5	4.36010870246059e+72
8.5	1.0892372614096e+73
9.5	2.71806583131678e+73
10.5	6.77463576608529e+73
11.5	1.68645492920665e+74
12.5	4.19274693968017e+74
13.5	1.04094504825997e+75
14.5	2.58065461910795e+75
15.5	6.38807312574777e+75
16.5	1.57873689897747e+76
17.5	3.89500603003895e+76
18.5	9.59223558360469e+76
19.5	2.35773750803878e+77
20.5	5.783367294904e+77
21.5	1.41552049268992e+78
22.5	3.45649383430411e+78
23.5	8.41912117321499e+78
24.5	2.0451637217545e+79
25.5	4.95369643390513e+79
26.5	1.19610547995377e+80
27.5	2.87828965395946e+80
28.5	6.90074124157557e+80
29.5	1.64780949894321e+81
30.5	3.91742981054171e+81
31.5	9.26800791933711e+81
32.5	2.18092308255684e+82
33.5	5.10157345046761e+82
34.5	1.18542359171785e+83
35.5	2.73393405611107e+83
36.5	6.25195643649313e+83
37.5	1.41590781404466e+84
38.5	3.17106582212213e+84
39.5	7.01022491621235e+84
40.5	1.52620277596724e+85
41.5	3.26255806129459e+85
42.5	6.82153995253124e+85
43.5	1.38778579314146e+86
44.5	2.72751108068761e+86
45.5	5.1263939497825e+86
46.5	9.0791228547292e+86
47.5	1.48207614294365e+87
48.5	2.15689511900973e+87
49.5	2.66849245355367e+87
50.5	2.66849245355367e+87
51.5	2.15689511900973e+87
52.5	1.48207614294365e+87
53.5	9.0791228547292e+86
54.5	5.1263939497825e+86
55.5	2.72751108068761e+86
56.5	1.38778579314146e+86
57.5	6.82153995253124e+85
58.5	3.26255806129459e+85
59.5	1.52620277596724e+85
60.5	7.01022491621234e+84
61.5	3.17106582212213e+84
62.5	1.41590781404466e+84
63.5	6.25195643649313e+83
64.5	2.73393405611107e+83
65.5	1.18542359171785e+83
66.5	5.10157345046761e+82
67.5	2.18092308255683e+82
68.5	9.26800791933711e+81
69.5	3.91742981054171e+81
70.5	1.64780949894321e+81
71.5	6.90074124157557e+80
72.5	2.87828965395946e+80
73.5	1.19610547995377e+80
74.5	4.95369643390513e+79
75.5	2.0451637217545e+79
76.5	8.41912117321499e+78
77.5	3.45649383430411e+78
78.5	1.41552049268992e+78
79.5	5.783367294904e+77
80.5	2.35773750803878e+77
81.5	9.59223558360469e+76
82.5	3.89500603003896e+76
83.5	1.5787368989775e+76
84.5	6.38807312574859e+75
85.5	2.58065461911006e+75
86.5	1.04094504826532e+75
87.5	4.19274693981599e+74
88.5	1.68645492955116e+74
89.5	6.77463577481989e+73
90.5	2.71806585345015e+73
91.5	1.08923731746491e+73
92.5	4.36011012133203e+72
93.5	1.74344007356076e+72
94.5	6.96420624926016e+71
95.5	2.77912700293496e+71
96.5	1.10795262474691e+71
97.5	4.41201856545667e+70
98.5	1.75271027919706e+70
99.5	6.88970882033832e+69
