solution variable
x	solution variable
0.5	8.11976532984888e-06
1.5	8.1549572892368e-06
2.5	8.22298998884515e-06
3.5	8.31983730069044e-06
4.5	8.44082916168693e-06
5.5	8.58162108037272e-06
6.5	8.73882370065445e-06
7.5	8.9102297622166e-06
8.5	9.09473142665905e-06
9.5	9.29207389606212e-06
10.5	9.50256994875684e-06
11.5	9.72685060163871e-06
12.5	9.96568163422317e-06
13.5	1.02198464486069e-05
14.5	1.0490082115832e-05
15.5	1.07770521546893e-05
16.5	1.10813413888306e-05
17.5	1.14034616932812e-05
18.5	1.1743860849316e-05
19.5	1.21029294652429e-05
20.5	1.24810029271749e-05
21.5	1.2878356752571e-05
22.5	1.32951946921033e-05
23.5	1.37316295936389e-05
24.5	1.41876574996515e-05
25.5	1.46631257623931e-05
26.5	1.51576961792031e-05
27.5	1.56708043133024e-05
28.5	1.62016163065234e-05
29.5	1.6748984636221e-05
30.5	1.73114044375089e-05
31.5	1.78869722121925e-05
32.5	1.8473348973677e-05
33.5	1.90677301159297e-05
34.5	1.96668245143838e-05
35.5	2.02668455257485e-05
36.5	2.08635166014457e-05
37.5	2.14520941112064e-05
38.5	2.20274096373513e-05
39.5	2.25839334055896e-05
40.5	2.31158596441439e-05
41.5	2.36172135180499e-05
42.5	2.40819779139739e-05
43.5	2.45042368364508e-05
44.5	2.48783306397299e-05
45.5	2.51990169095777e-05
46.5	2.54616296888489e-05
47.5	2.56622290647115e-05
48.5	2.57977330291908e-05
49.5	2.58660240611433e-05
50.5	2.58660240611432e-05
51.5	2.57977330291906e-05
52.5	2.56622290647112e-05
53.5	2.54616296888488e-05
54.5	2.51990169095775e-05
55.5	2.48783306397296e-05
56.5	2.45042368364506e-05
57.5	2.40819779139739e-05
58.5	2.36172135180496e-05
59.5	2.31158596441435e-05
60.5	2.25839334055889e-05
61.5	2.20274096373504e-05
62.5	2.14520941112054e-05
63.5	2.08635166014447e-05
64.5	2.02668455257477e-05
65.5	1.96668245143832e-05
66.5	1.90677301159293e-05
67.5	1.84733489736762e-05
68.5	1.78869722121917e-05
69.5	1.73114044375084e-05
70.5	1.67489846362208e-05
71.5	1.62016163065234e-05
72.5	1.56708043133027e-05
73.5	1.51576961792033e-05
74.5	1.46631257623932e-05
75.5	1.41876574996519e-05
76.5	1.37316295936393e-05
77.5	1.32951946921039e-05
78.5	1.28783567525718e-05
79.5	1.24810029271755e-05
80.5	1.21029294652436e-05
81.5	1.17438608493166e-05
82.5	1.14034616932814e-05
83.5	1.10813413888308e-05
84.5	1.07770521546894e-05
85.5	1.04900821158318e-05
86.5	1.02198464486067e-05
87.5	9.9656816342233e-06
88.5	9.72685060163888e-06
89.5	9.50256994875701e-06
90.5	9.29207389606245e-06
91.5	9.09473142665966e-06
92.5	8.91022976221734e-06
93.5	8.73882370065496e-06
94.5	8.58162108037287e-06
95.5	8.44082916168678e-06
96.5	8.31983730069027e-06
97.5	8.22298998884498e-06
98.5	8.15495728923669e-06
99.5	8.11976532984883e-06
