solution variable
x	solution variable
0.5	1.73221752018325e-07
1.5	2.32536104292111e-07
2.5	3.50870193495463e-07
3.5	5.27592973393713e-07
4.5	7.6165356510492e-07
5.5	1.05145676137506e-06
6.5	1.39469820570388e-06
7.5	1.78816034948864e-06
8.5	2.2274706956785e-06
9.5	2.70682434268795e-06
10.5	3.21867348368324e-06
11.5	3.75338734240617e-06
12.5	4.29888710373829e-06
13.5	4.84026181631094e-06
14.5	5.35937313033634e-06
15.5	5.83445925508064e-06
16.5	6.23975189986468e-06
17.5	6.5451244845427e-06
18.5	6.71579591467527e-06
19.5	6.71212209894355e-06
20.5	6.48951751948786e-06
21.5	5.99856182328389e-06
22.5	5.18536159263296e-06
23.5	3.99225467502095e-06
24.5	2.35896235863789e-06
25.5	2.24310628623495e-07
26.5	-2.47134875705398e-06
27.5	-5.78289055899182e-06
28.5	-9.75624239544338e-06
29.5	-1.4423250438566e-05
30.5	-1.9795667190672e-05
31.5	-2.58585257328492e-05
32.5	-3.25633996634192e-05
33.5	-3.98222586759926e-05
34.5	-4.75025867814176e-05
35.5	-5.54236141990484e-05
36.5	-6.33509683250045e-05
37.5	-7.09814022933713e-05
38.5	-7.78993696817698e-05
39.5	-8.34742466367832e-05
40.5	-8.66588116258046e-05
41.5	-8.5666949944619e-05
42.5	-7.75881521228023e-05
43.5	-5.81762938148519e-05
44.5	-2.23143227514426e-05
45.5	3.41721653217423e-05
46.5	0.00011102554968439
47.5	0.000199421040021096
48.5	0.000280361510026368
49.5	0.000329639385822092
50.5	0.00032963938582208
51.5	0.00028036151002633
52.5	0.00019942104002103
53.5	0.000111025549684294
54.5	3.41721653216129e-05
55.5	-2.23143227516083e-05
56.5	-5.81762938150566e-05
57.5	-7.75881521230475e-05
58.5	-8.56669499449059e-05
59.5	-8.66588116261339e-05
60.5	-8.34742466371547e-05
61.5	-7.78993696821821e-05
62.5	-7.09814022938217e-05
63.5	-6.33509683254888e-05
64.5	-5.54236141995601e-05
65.5	-4.75025867819475e-05
66.5	-3.98222586765287e-05
67.5	-3.25633996639462e-05
68.5	-2.58585257333482e-05
69.5	-1.97956671911205e-05
70.5	-1.44232504389377e-05
71.5	-9.75624239570823e-06
72.5	-5.7828905591164e-06
73.5	-2.47134875700236e-06
74.5	2.24310628888791e-07
75.5	2.35896235915443e-06
76.5	3.99225467582392e-06
77.5	5.1853615937523e-06
78.5	5.99856182474048e-06
79.5	6.48951752128838e-06
80.5	6.71212210107487e-06
81.5	6.71579591709775e-06
82.5	6.54512448718331e-06
83.5	6.23975190261065e-06
84.5	5.83445925777507e-06
85.5	5.35937313277741e-06
86.5	4.84026181825703e-06
87.5	4.29888710492094e-06
88.5	3.75338734255274e-06
89.5	3.21867348254941e-06
90.5	2.70682434009846e-06
91.5	2.22747069157153e-06
92.5	1.78816034395618e-06
93.5	1.39469819901854e-06
94.5	1.05145675399302e-06
95.5	7.61653557637439e-07
96.5	5.27592966545008e-07
97.5	3.50870187972974e-07
98.5	2.32536100703177e-07
99.5	1.73221750773613e-07
