solution variable
x	solution variable
0.5	0.00135076198590568
1.5	0.00135661920771018
2.5	0.00136747980210452
3.5	0.00138216659436315
4.5	0.00139967128919216
5.5	0.00141935879868917
6.5	0.00144095090687038
7.5	0.00146442423521391
8.5	0.0014899073849499
9.5	0.00151760676008134
10.5	0.0015477613955652
11.5	0.00158061822766561
12.5	0.0016164194985567
13.5	0.0016553966120236
14.5	0.00169776710890608
15.5	0.00174373295600917
16.5	0.00179347919579989
17.5	0.00184717244940478
18.5	0.00190495899687461
19.5	0.00196696228857297
20.5	0.00203327982567927
21.5	0.00210397941075837
22.5	0.00217909482061565
23.5	0.00225862099629821
24.5	0.00234250887999067
25.5	0.00243066005617579
26.5	0.00252292137552823
27.5	0.00261907975566374
28.5	0.00271885736432148
29.5	0.00282190739897433
30.5	0.00292781068305232
31.5	0.00303607330316646
32.5	0.00314612551345109
33.5	0.00325732213112388
34.5	0.00336894463955672
35.5	0.00348020519890028
36.5	0.00359025273659489
37.5	0.00369818124793284
38.5	0.00380304037771751
39.5	0.00390384827655697
40.5	0.00399960662963786
41.5	0.00408931764430697
42.5	0.00417200266031178
43.5	0.00424672192057966
44.5	0.0043125949207133
45.5	0.00436882065330935
46.5	0.00441469699058542
47.5	0.00444963841645838
48.5	0.00447319133540122
49.5	0.00448504625431075
50.5	0.00448504625431074
51.5	0.00447319133540123
52.5	0.00444963841645839
53.5	0.00441469699058542
54.5	0.00436882065330935
55.5	0.00431259492071329
56.5	0.00424672192057966
57.5	0.00417200266031178
58.5	0.00408931764430696
59.5	0.00399960662963786
60.5	0.00390384827655697
61.5	0.00380304037771752
62.5	0.00369818124793285
63.5	0.00359025273659489
64.5	0.00348020519890029
65.5	0.00336894463955672
66.5	0.00325732213112388
67.5	0.00314612551345109
68.5	0.00303607330316646
69.5	0.00292781068305232
70.5	0.00282190739897433
71.5	0.00271885736432148
72.5	0.00261907975566374
73.5	0.00252292137552823
74.5	0.00243066005617579
75.5	0.00234250887999067
76.5	0.00225862099629821
77.5	0.00217909482061565
78.5	0.00210397941075837
79.5	0.00203327982567927
80.5	0.00196696228857297
81.5	0.00190495899687461
82.5	0.00184717244940478
83.5	0.00179347919579989
84.5	0.00174373295600917
85.5	0.00169776710890608
86.5	0.0016553966120236
87.5	0.0016164194985567
88.5	0.00158061822766561
89.5	0.0015477613955652
90.5	0.00151760676008134
91.5	0.0014899073849499
92.5	0.00146442423521391
93.5	0.00144095090687038
94.5	0.00141935879868917
95.5	0.00139967128919216
96.5	0.00138216659436315
97.5	0.00136747980210452
98.5	0.00135661920771018
99.5	0.00135076198590568
