solution variable
x	solution variable
0.5	6.29534729882795e-36
1.5	1.36660682988866e-35
2.5	3.6442848797031e-35
3.5	9.56624780922064e-35
4.5	2.50544585479588e-34
5.5	6.55971278346558e-34
6.5	1.71736924956009e-33
7.5	4.4961364703337e-33
8.5	1.1771040161441e-32
9.5	3.08169840139893e-32
10.5	6.83539602364487e-32
11.5	1.495929934072e-31
12.5	3.31121213408839e-31
13.5	6.95859227090376e-31
14.5	1.46063362840441e-30
15.5	2.99578836605447e-30
16.5	5.94900965931697e-30
17.5	1.16957969910124e-29
18.5	2.28274940719521e-29
19.5	4.33760498360868e-29
20.5	8.12682455640149e-29
21.5	1.49941588921813e-28
22.5	2.72315490764461e-28
23.5	4.8714459698118e-28
24.5	8.57796719986254e-28
25.5	1.48671127500961e-27
26.5	2.53579716118377e-27
27.5	4.25265758497836e-27
28.5	7.0162448749331e-27
29.5	1.13813357863839e-26
30.5	1.81410590519409e-26
31.5	2.84005829685368e-26
32.5	4.36346764122265e-26
33.5	6.57740825210522e-26
34.5	9.71925085626223e-26
35.5	1.40732683147781e-25
36.5	1.9954510251437e-25
37.5	2.76906378301421e-25
38.5	3.75810291038989e-25
39.5	4.98528448018688e-25
40.5	6.4600412600306e-25
41.5	8.17280935050094e-25
42.5	1.00884935115881e-24
43.5	1.21446934073196e-24
44.5	1.42508975292669e-24
45.5	1.62938971741923e-24
46.5	1.8145746775853e-24
47.5	1.9677182212974e-24
48.5	2.07717400461057e-24
49.5	2.1342580016721e-24
50.5	2.1342580016721e-24
51.5	2.07717400461057e-24
52.5	1.9677182212974e-24
53.5	1.8145746775853e-24
54.5	1.62938971741923e-24
55.5	1.42508975292669e-24
56.5	1.21446934073196e-24
57.5	1.00884935115881e-24
58.5	8.17280935050094e-25
59.5	6.4600412600306e-25
60.5	4.98528448018688e-25
61.5	3.75810291038989e-25
62.5	2.76906378301421e-25
63.5	1.9954510251437e-25
64.5	1.40732683147781e-25
65.5	9.71925085626223e-26
66.5	6.57740825210522e-26
67.5	4.36346764122265e-26
68.5	2.84005829685368e-26
69.5	1.81410590519409e-26
70.5	1.13813357863839e-26
71.5	7.0162448749331e-27
72.5	4.25265758497836e-27
73.5	2.53579716118377e-27
74.5	1.48671127500961e-27
75.5	8.57796719986253e-28
76.5	4.8714459698118e-28
77.5	2.72315490764461e-28
78.5	1.49941588921813e-28
79.5	8.12682455640149e-29
80.5	4.33760498360868e-29
81.5	2.28274940719522e-29
82.5	1.16957969910125e-29
83.5	5.94900965931711e-30
84.5	2.99578836605483e-30
85.5	1.46063362840535e-30
86.5	6.95859227092824e-31
87.5	3.31121213415249e-31
88.5	1.49592993423982e-31
89.5	6.83539602803846e-32
90.5	3.08169841290149e-32
91.5	1.17710404625818e-32
92.5	4.49613725873042e-33
93.5	1.71737131360949e-33
94.5	6.55976682098052e-34
95.5	2.50558732684667e-34
96.5	9.56995159559493e-35
97.5	3.65398151831807e-35
98.5	1.39199295935926e-35
99.5	5.21997359759724e-36
