solution variable
x	solution variable
0.5	7.04053798476336e-10
1.5	7.13401513724852e-10
2.5	7.32170655867723e-10
3.5	7.60496680640126e-10
4.5	7.98552797838694e-10
5.5	8.46513899192327e-10
6.5	9.04508469535079e-10
7.5	9.72558854458178e-10
8.5	1.05051082130572e-09
9.5	1.137954236527e-09
10.5	1.23413794629772e-09
11.5	1.3378836160314e-09
12.5	1.44750533181863e-09
13.5	1.56074408252794e-09
14.5	1.67472859404168e-09
15.5	1.78597599155103e-09
16.5	1.89044686169901e-09
17.5	1.98366875015207e-09
18.5	2.06093913901374e-09
19.5	2.11761272093463e-09
20.5	2.14946781835183e-09
21.5	2.15313318791725e-09
22.5	2.12654029619955e-09
23.5	2.06934990441242e-09
24.5	1.98328945858101e-09
25.5	1.87233472283398e-09
26.5	1.74268129413286e-09
27.5	1.6024841115347e-09
28.5	1.46139743544962e-09
29.5	1.3300189978753e-09
30.5	1.21941463800249e-09
31.5	1.14094362804356e-09
32.5	1.10657080781387e-09
33.5	1.12966698315975e-09
34.5	1.22586962844573e-09
35.5	1.41282035098631e-09
36.5	1.70660286871515e-09
37.5	2.1122633602493e-09
38.5	2.60881760517933e-09
39.5	3.14371200282303e-09
40.5	3.69523179825643e-09
41.5	4.55905311025829e-09
42.5	7.16740989642948e-09
43.5	1.58169560343984e-08
44.5	4.01775042770048e-08
45.5	9.65603223218148e-08
46.5	2.02771905017181e-07
47.5	3.61269474412559e-07
48.5	5.36982448755123e-07
49.5	6.57279918285688e-07
50.5	6.57279918286014e-07
51.5	5.36982448755994e-07
52.5	3.61269474413651e-07
53.5	2.02771905018178e-07
54.5	9.65603223225204e-08
55.5	4.0177504277393e-08
56.5	1.58169560345321e-08
57.5	7.16740989640496e-09
58.5	4.55905311016628e-09
59.5	3.69523179816078e-09
60.5	3.14371200276362e-09
61.5	2.60881760517806e-09
62.5	2.11226336031168e-09
63.5	1.70660286884256e-09
64.5	1.41282035118419e-09
65.5	1.22586962872223e-09
66.5	1.12966698352709e-09
67.5	1.10657080829382e-09
68.5	1.14094362866205e-09
69.5	1.21941463878847e-09
70.5	1.33001899886258e-09
71.5	1.46139743667004e-09
72.5	1.60248411302283e-09
73.5	1.74268129591994e-09
74.5	1.87233472494524e-09
75.5	1.98328946104064e-09
76.5	2.0693499072406e-09
77.5	2.12654029940554e-09
78.5	2.15313319150862e-09
79.5	2.14946782233531e-09
80.5	2.11761272530927e-09
81.5	2.06093914377671e-09
82.5	1.98366875530261e-09
83.5	1.89044686723092e-09
84.5	1.78597599745325e-09
85.5	1.67472860029397e-09
86.5	1.560744089101e-09
87.5	1.44750533866509e-09
88.5	1.33788362308595e-09
89.5	1.2341379534795e-09
90.5	1.13795424372656e-09
91.5	1.05051082839067e-09
92.5	9.72558861276427e-10
93.5	9.04508475925325e-10
94.5	8.46513904982003e-10
95.5	7.98552802857754e-10
96.5	7.60496684730563e-10
97.5	7.32170658894975e-10
98.5	7.13401515585536e-10
99.5	7.04053799103291e-10
