solution variable
x	solution variable
0.5	-8.22898497887388e-18
1.5	-8.87386482394585e-18
2.5	-1.24500658402484e-17
3.5	-1.64556418739737e-17
4.5	-2.10253763322023e-17
5.5	-2.63110628268e-17
6.5	-3.24859192337703e-17
7.5	-3.97495463262999e-17
8.5	-4.83335506691293e-17
9.5	-5.85079649519461e-17
10.5	-7.05886149568965e-17
11.5	-8.49456011463636e-17
12.5	-1.02013084709374e-16
13.5	-1.22300593151178e-16
14.5	-1.4640608953382e-16
15.5	-1.75031082715314e-16
16.5	-2.08998093894191e-16
17.5	-2.49270838019615e-16
18.5	-2.96977527832059e-16
19.5	-3.53437764207258e-16
20.5	-4.20193539947571e-16
21.5	-4.99044956187144e-16
22.5	-5.9209133228531e-16
23.5	-7.01778482783541e-16
24.5	-8.30953040204702e-16
25.5	-9.82924821926498e-16
26.5	-1.16153837509144e-15
27.5	-1.37125498788095e-15
28.5	-1.61724663122902e-15
29.5	-1.90550349538887e-15
30.5	-2.24295701444505e-15
31.5	-2.63762053327508e-15
32.5	-3.09875007075518e-15
33.5	-3.63702797620869e-15
34.5	-4.26477267029127e-15
35.5	-4.99617811499543e-15
36.5	-5.84758717996935e-15
37.5	-6.83780367528359e-15
38.5	-7.98844851748484e-15
39.5	-9.3243663018442e-15
40.5	-1.08740894873348e-14
41.5	-1.26703684832569e-14
42.5	-1.47507771822027e-14
43.5	-1.71584049417957e-14
44.5	-1.99426477103838e-14
45.5	-2.31601129577564e-14
46.5	-2.68756553548072e-14
47.5	-3.11635627961626e-14
48.5	-3.61089154345419e-14
49.5	-4.18091439603841e-14
50.5	-4.83758174891626e-14
51.5	-5.59366961955098e-14
52.5	-6.46380893518326e-14
53.5	-7.46475657947609e-14
54.5	-8.61570711726493e-14
55.5	-9.93865147510615e-14
56.5	-1.14587898213309e-13
57.5	-1.32050069945478e-13
58.5	-1.52104200908953e-13
59.5	-1.75130092560005e-13
60.5	-2.01563443569104e-13
61.5	-2.31904220526448e-13
62.5	-2.66726298606779e-13
63.5	-3.06688561523341e-13
64.5	-3.5254767624591e-13
65.5	-4.0517278710465e-13
66.5	-4.65562406252051e-13
67.5	-5.34863813190528e-13
68.5	-6.14395315343229e-13
69.5	-7.05671764554842e-13
70.5	-8.10433771001194e-13
71.5	-9.30681106223578e-13
72.5	-1.06871084074436e-12
73.5	-1.22716081869078e-12
74.5	-1.40905913161616e-12
75.5	-1.61788031562188e-12
76.5	-1.85760905906369e-12
77.5	-2.13281227138909e-12
78.5	-2.44872042546194e-12
79.5	-2.81131914412634e-12
80.5	-3.22745205428963e-12
81.5	-3.70493597542506e-12
82.5	-4.25268954039271e-12
83.5	-4.88087636034789e-12
84.5	-5.60106383684041e-12
85.5	-6.4263986865516e-12
86.5	-7.3718001698294e-12
87.5	-8.45417189426874e-12
