solution variable
x	solution variable
0.5	163.727394298716
1.5	342.019839691023
2.5	881.284995213199
3.5	2233.17057339043
4.5	5643.56307813131
5.5	14254.4006833878
6.5	35996.0422154498
7.5	90885.2064350939
8.5	229439.074522135
9.5	579131.718900091
10.5	1461580.2731071
11.5	3688101.20752658
12.5	9305019.58625562
13.5	23472833.3487982
14.5	59203441.5395472
15.5	149300427.126832
16.5	376449950.046746
17.5	949040978.353935
18.5	2392178801.61795
19.5	6028824997.03313
20.5	15191529235.6631
21.5	38273615332.8549
22.5	96410881328.9902
23.5	242817830920.331
24.5	611452088238.539
25.5	1539469164917.99
26.5	3875302627540.6
27.5	9753616383146.13
28.5	24544290483045.5
29.5	61753189570155.7
30.5	155343016031601
31.5	390703063999886
32.5	982480536853679
33.5	2.47014500430874e+15
34.5	6.2092848742479e+15
35.5	1.56056063243358e+16
36.5	3.92137977311242e+16
37.5	9.8518007138783e+16
38.5	2.47462866307358e+17
39.5	6.21471771530719e+17
40.5	1.56044674524091e+18
41.5	3.91734563767685e+18
42.5	9.83217129721802e+18
43.5	2.46729330749448e+19
44.5	6.19020612859754e+19
45.5	1.55275022397772e+20
46.5	3.89412072804589e+20
47.5	9.76399827750198e+20
48.5	2.44768533351961e+21
49.5	6.13468420006097e+21
50.5	1.53722232523214e+22
51.5	3.85112930773317e+22
52.5	9.6459620904278e+22
53.5	2.41550591363054e+23
54.5	6.04748531792944e+23
55.5	1.51371720886262e+24
56.5	3.78806054982059e+24
57.5	9.4774244372218e+24
58.5	2.37063124269256e+25
59.5	5.92839206683219e+25
60.5	1.48220420769124e+26
61.5	3.70489864071849e+26
62.5	9.25850196165288e+26
63.5	2.31313052159148e+27
64.5	5.7776799954469e+27
65.5	1.44277844538978e+28
66.5	3.60194844803806e+28
67.5	8.990128057424e+28
68.5	2.24328077519546e+29
69.5	5.59615296660248e+29
70.5	1.39566922236391e+30
71.5	3.47985528538293e+30
72.5	8.67409910113598e+30
73.5	2.16157757055443e+31
74.5	5.38516773840788e+31
75.5	1.34124557865878e+32
76.5	3.33961729128066e+32
77.5	8.31310139703962e+32
78.5	2.06874070689534e+33
79.5	5.14664545981956e+33
80.5	1.28001845704942e+34
81.5	3.1825889890323e+34
82.5	7.91071528077333e+34
83.5	1.96571399888301e+35
84.5	4.8830679139802e+35
85.5	1.21263893348886e+36
86.5	3.01047472120584e+36
87.5	7.4713931904525e+36
88.5	1.85365837622282e+37
89.5	4.59745662585997e+37
90.5	1.1398920603992e+38
91.5	2.8253108675906e+38
92.5	7.00040910074859e+38
93.5	1.73393768218975e+39
94.5	4.29333338194779e+39
95.5	1.06268598437606e+40
96.5	2.62943606673905e+40
97.5	6.50377754751457e+40
98.5	1.60809677526245e+41
99.5	3.97466129820836e+41
100.5	9.82036155709932e+41
101.5	2.42544907278816e+42
102.5	5.98814155474779e+42
103.5	1.47783182298781e+43
104.5	3.64576631966932e+43
105.5	8.9904464260211e+43
106.5	2.21615438957506e+44
107.5	5.46063010521549e+44
108.5	1.34495302288351e+45
109.5	3.31123993200612e+45
110.5	8.14874795262439e+45
111.5	2.00449642455144e+46
112.5	4.92868734530455e+46
113.5	1.21134038412567e+47
114.5	2.97582489084961e+47
115.5	7.30721768114412e+47
116.5	1.79348357849457e+48
117.5	4.39987743577047e+48
118.5	1.07889364273884e+49
119.5	2.64428689190472e+49
120.5	6.47779692169782e+49
121.5	1.58610440651732e+50
122.5	3.88167078001876e+50
123.5	9.49477842330564e+50
124.5	2.32127626153454e+51
125.5	5.6720658014979e+51
126.5	1.38523871376403e+52
