sigma,u2_GQ
0.01,0.48975615931982097
2.050612244897959,0.07816469921781549
4.091224489795918,0.04035868344111711
6.131836734693877,0.024520251286610863
8.172448979591836,0.016318825309308352
10.213061224489795,0.011555734796758102
12.253673469387754,0.008566847791186322
14.294285714285714,0.006580365863645753
16.334897959183674,0.005199487008496813
18.375510204081632,0.004204186986099163
20.416122448979593,0.0034650453670327674
22.456734693877554,0.0029021995033609695
24.49734693877551,0.0024643612441909817
26.53795918367347,0.002117458630028555
28.57857142857143,0.0018381875446863102
30.61918367346939,0.001610199371104213
32.659795918367344,0.0014217667058174894
34.7004081632653,0.0012643095965891341
36.74102040816326,0.0011314395415794572
38.78163265306122,0.0010183242223172967
40.82224489795918,0.0009212561471263791
42.86285714285714,0.0008373539922262843
44.9034693877551,0.0007643521351915608
46.94408163265306,0.00070044993788681
48.98469387755102,0.0006442022169694884
51.025306122448974,0.0005944385657293636
53.06591836734693,0.0005502031887781433
55.106530612244896,0.0005107095120051768
57.14714285714285,0.0004753055779809775
59.18775510204081,0.0004434474285997544
61.228367346938775,0.00041467825074409007
63.26897959183673,0.00038861244313108975
65.3095918367347,0.0003649224985022626
67.35020408163265,0.00034332894184260554
69.39081632653061,0.0003235921170810254
71.43142857142857,0.0003055055874539815
73.47204081632653,0.0002888907636835659
75.5126530612245,0.00027359253120061644
77.55326530612246,0.00025947564516034383
79.59387755102041,0.00024642175750174723
81.63448979591837,0.00023432697343653446
83.67510204081633,0.000223099690417129
85.71571428571428,0.0002126590748730913
87.75632653061224,0.0002029334127439382
89.79693877551021,0.00019385898264419725
91.83755102040817,0.00018537899806366753
93.87816326530613,0.00017744272061373393
95.91877551020409,0.0001700047043597274
97.95938775510204,0.00016302415092255085
100.0,0.00015646434600398364
