sigma,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
12.2536734693878,1,1,[-0.00521021  1.        ],[-0.01377706  1.        ],"[1.0, 0.0085668477911863, 0.00011802595514541122]",72.58443941954724,-45.13444483413255,[1],,,0.37818015548415607,[0.37818016]
12.2536734693878,2,0,[1.],[-4.46350741e-05 -8.56684779e-03  1.00000000e+00],"[1.0, 0.0085668477911863, 0.00011802595514541122]",81.83578015693968,-63.00268261996858,[1],-273.76663207227284,63.00268261996858,0.17717169640390013,[]
14.2942857142857,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
14.2942857142857,0,1,[0.00658037 1.        ],[1.],"[1.0, 0.0065803658636457, 0.0]",,,,,,,
14.2942857142857,0,2,[7.09144495e-05 6.58036586e-03 1.00000000e+00],[1.],"[1.0, 0.0065803658636457, 7.091444949367089e-05]",,,,,,,
14.2942857142857,1,0,[1.],[-0.00658037  1.        ],"[1.0, 0.0065803658636457, 4.3301214899433614e-05]",151.9672341510162,-151.9672341510162,[1],,,0.0,[]
14.2942857142857,1,1,[-0.00419631  1.        ],[-0.01077667  1.        ],"[1.0, 0.0065803658636457, 7.091444949367089e-05]",92.7930190621165,-56.66053234939879,[1],,,0.38938798497902394,[0.38938798]
14.2942857142857,2,0,[1.],[-2.76132346e-05 -6.58036586e-03  1.00000000e+00],"[1.0, 0.0065803658636457, 7.091444949367089e-05]",105.3733556506817,-80.64669460007946,[1],-343.6781381341864,80.64669460007946,0.17959342239426052,[]
16.3348979591837,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
16.3348979591837,0,1,[0.00519949 1.        ],[1.],"[1.0, 0.0051994870084968, 0.0]",,,,,,,
16.3348979591837,0,2,[4.48988190e-05 5.19948701e-03 1.00000000e+00],[1.],"[1.0, 0.0051994870084968, 4.489881904832615e-05]",,,,,,,
16.3348979591837,1,0,[1.],[-0.00519949  1.        ],"[1.0, 0.0051994870084968, 2.7034665151527e-05]",192.3266657587256,-192.3266657587256,[1],,,0.0,[]
16.3348979591837,1,1,[-0.00343575  1.        ],[-0.00863524  1.        ],"[1.0, 0.0051994870084968, 4.489881904832615e-05]",115.80453826414481,-69.72871405879584,[1],,,0.39787580777060855,[0.39787581]
16.3348979591837,2,0,[1.],[-1.78641539e-05 -5.19948701e-03  1.00000000e+00],"[1.0, 0.0051994870084968, 4.489881904832615e-05]",132.24220860610566,-100.76300426235669,[1],-423.29920680115754,100.76300426235669,0.18137802415412735,[]
18.3755102040816,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
18.3755102040816,0,1,[0.00420419 1.        ],[1.],"[1.0, 0.0042041869860991, 0.0]",,,,,,,
18.3755102040816,0,2,[2.96745457e-05 4.20418699e-03 1.00000000e+00],[1.],"[1.0, 0.0042041869860991, 2.967454569768834e-05]",,,,,,,
18.3755102040816,1,0,[1.],[-0.00420419  1.        ],"[1.0, 0.0042041869860991, 1.7675188214085037e-05]",237.85811699299813,-237.85811699299813,[1],,,0.0,[]
18.3755102040816,1,1,[-0.00285414  1.        ],[-0.00705833  1.        ],"[1.0, 0.0042041869860991, 2.967454569768834e-05]",141.67654086197544,-84.38745956778035,[1],,,0.4043653306725454,[0.40436533]
