solution variable
x	solution variable
0.5	1.80616055671664e-09
1.5	1.81451664464819e-09
2.5	1.83677272035194e-09
3.5	1.88198748986834e-09
4.5	1.96000453257893e-09
5.5	2.07931883478828e-09
6.5	2.24595629971242e-09
7.5	2.46309638224937e-09
8.5	2.73101366907186e-09
9.5	3.04706466527e-09
10.5	3.40563092722565e-09
11.5	3.79803935670946e-09
12.5	4.21251858949974e-09
13.5	4.6342511602076e-09
14.5	5.04557040753486e-09
15.5	5.42634095736188e-09
16.5	5.75455532274879e-09
17.5	6.00717599641548e-09
18.5	6.16125042717182e-09
19.5	6.19532335165517e-09
20.5	6.09116516988196e-09
21.5	5.83582471699357e-09
22.5	5.42399839552551e-09
23.5	4.86068384604747e-09
24.5	4.16405397207795e-09
25.5	3.36844529743668e-09
26.5	2.52730292394651e-09
27.5	1.71586324760115e-09
28.5	1.03328695270724e-09
29.5	6.03882596469945e-10
30.5	5.76992205819435e-10
31.5	1.12505543008358e-09
32.5	2.4393431843826e-09
33.5	4.72287546571364e-09
34.5	8.18013529922172e-09
35.5	1.30033873818836e-08
36.5	1.93557284556949e-08
37.5	2.73514480892015e-08
38.5	3.70348527783717e-08
39.5	4.83593585273642e-08
40.5	6.11692988109587e-08
41.5	7.51873910348614e-08
42.5	9.00109851673198e-08
43.5	1.05119908413739e-07
44.5	1.19897790419408e-07
45.5	1.33667182006248e-07
46.5	1.45736704928922e-07
47.5	1.55456209940564e-07
48.5	1.62273940497068e-07
49.5	1.65788509902923e-07
50.5	1.65788509902923e-07
51.5	1.62273940497068e-07
52.5	1.55456209940564e-07
53.5	1.45736704928922e-07
54.5	1.33667182006248e-07
55.5	1.19897790419408e-07
56.5	1.05119908413739e-07
57.5	9.00109851673198e-08
58.5	7.51873910348614e-08
59.5	6.11692988109587e-08
60.5	4.83593585273643e-08
61.5	3.70348527783717e-08
62.5	2.73514480892015e-08
63.5	1.93557284556949e-08
64.5	1.30033873818836e-08
65.5	8.18013529922171e-09
66.5	4.72287546571362e-09
67.5	2.43934318438256e-09
68.5	1.12505543008347e-09
69.5	5.76992205819145e-10
70.5	6.03882596469188e-10
71.5	1.03328695270695e-09
72.5	1.71586324760104e-09
73.5	2.52730292394647e-09
74.5	3.36844529743667e-09
75.5	4.16405397207794e-09
76.5	4.86068384604747e-09
77.5	5.4239983955255e-09
78.5	5.83582471699357e-09
79.5	6.09116516988196e-09
80.5	6.19532335165517e-09
81.5	6.16125042717182e-09
82.5	6.00717599641547e-09
83.5	5.75455532274879e-09
84.5	5.42634095736188e-09
85.5	5.04557040753486e-09
86.5	4.6342511602076e-09
87.5	4.21251858949974e-09
88.5	3.79803935670946e-09
89.5	3.40563092722565e-09
90.5	3.04706466527001e-09
91.5	2.73101366907186e-09
92.5	2.46309638224937e-09
93.5	2.24595629971242e-09
94.5	2.07931883478828e-09
95.5	1.96000453257893e-09
96.5	1.88198748986834e-09
97.5	1.83677272035194e-09
98.5	1.81451664464819e-09
99.5	1.80616055671664e-09
