solution variable
x	solution variable
0.5	7.76922114616113e-15
1.5	7.42906058424928e-15
2.5	6.80344041958886e-15
3.5	5.98021204880591e-15
4.5	5.05395509065459e-15
5.5	4.10795596524402e-15
6.5	3.20686021383927e-15
7.5	2.39615113019549e-15
8.5	1.70425369128761e-15
9.5	1.14492726705309e-15
10.5	7.19291942883602e-16
11.5	4.17720503494544e-16
12.5	2.22121460408359e-16
13.5	1.09147067203517e-16
14.5	5.4776482047152e-17
15.5	4.06252963490258e-17
16.5	6.22320682397394e-17
17.5	1.39459238844805e-16
18.5	3.2900386633616e-16
19.5	7.38830126038591e-16
20.5	1.54410372578508e-15
21.5	3.00392906181342e-15
22.5	5.47787274921242e-15
23.5	9.44092184728096e-15
24.5	1.54952017265299e-14
25.5	2.43765077804936e-14
26.5	3.69535351693691e-14
27.5	5.421767483292e-14
28.5	7.7261433043467e-14
29.5	1.07243968600459e-13
30.5	1.45342951747397e-13
31.5	1.92692930134057e-13
32.5	2.50311606836894e-13
33.5	3.19016819938315e-13
34.5	3.99338452084584e-13
35.5	4.91430847712875e-13
36.5	5.94992409189257e-13
37.5	7.09199706738765e-13
38.5	8.32663518458168e-13
39.5	9.63413595167799e-13
40.5	1.09891756995857e-12
41.5	1.23613732937519e-12
42.5	1.3716234468637e-12
43.5	1.50164516138681e-12
44.5	1.62235014014552e-12
45.5	1.72994522708993e-12
46.5	1.82088688896123e-12
47.5	1.89206843907262e-12
48.5	1.94099057742314e-12
49.5	1.96590246836433e-12
50.5	1.96590246836433e-12
51.5	1.94099057742314e-12
52.5	1.89206843907262e-12
53.5	1.82088688896123e-12
54.5	1.72994522708993e-12
55.5	1.62235014014552e-12
56.5	1.50164516138681e-12
57.5	1.3716234468637e-12
58.5	1.23613732937519e-12
59.5	1.09891756995857e-12
60.5	9.634135951678e-13
61.5	8.32663518458168e-13
62.5	7.09199706738764e-13
63.5	5.94992409189257e-13
64.5	4.91430847712875e-13
65.5	3.99338452084584e-13
66.5	3.19016819938315e-13
67.5	2.50311606836893e-13
68.5	1.92692930134057e-13
69.5	1.45342951747397e-13
70.5	1.07243968600459e-13
71.5	7.7261433043467e-14
72.5	5.421767483292e-14
73.5	3.69535351693691e-14
74.5	2.43765077804936e-14
75.5	1.54952017265299e-14
76.5	9.44092184728096e-15
77.5	5.47787274921242e-15
78.5	3.00392906181342e-15
79.5	1.54410372578508e-15
80.5	7.38830126038591e-16
81.5	3.2900386633616e-16
82.5	1.39459238844805e-16
83.5	6.22320682397394e-17
84.5	4.06252963490258e-17
85.5	5.4776482047152e-17
86.5	1.09147067203517e-16
87.5	2.22121460408359e-16
88.5	4.17720503494544e-16
89.5	7.19291942883602e-16
90.5	1.14492726705309e-15
91.5	1.70425369128761e-15
92.5	2.39615113019549e-15
93.5	3.20686021383927e-15
94.5	4.10795596524402e-15
95.5	5.0539550906546e-15
96.5	5.98021204880591e-15
97.5	6.80344041958886e-15
98.5	7.42906058424928e-15
99.5	7.76922114616113e-15
